Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 046.49 000174.26 000315.79 000490.05
24/02/2020 044.29 000173.53 000264.37 000437.90
25/02/2020 043.29 000172.64 000221.62 000394.26
26/02/2020 043.03 000171.76 000188.13 000359.89
27/02/2020 046.51 000170.88 000176.74 000347.62
28/02/2020 056.12 000170.17 000240.63 000410.80
29/02/2020 059.45 000173.29 000304.88 000478.17
01/03/2020 058.05 000178.03 000323.57 000501.60
02/03/2020 057.53 000182.04 000327.37 000509.41
03/03/2020 057.50 000185.77 000331.41 000517.19
04/03/2020 059.72 000189.47 000372.21 000561.68
05/03/2020 059.08 000194.26 000388.60 000582.86
06/03/2020 051.05 000198.70 000327.91 000526.61
07/03/2020 046.44 000199.50 000274.52 000474.01
08/03/2020 044.39 000198.62 000229.82 000428.44
09/03/2020 042.83 000197.60 000192.40 000390.00
10/03/2020 041.53 000196.59 000161.07 000357.66
11/03/2020 039.87 000195.58 000134.84 000330.42
12/03/2020 038.20 000194.58 000112.88 000307.47
13/03/2020 036.59 000193.58 000094.50 000288.09
14/03/2020 035.04 000192.59 000079.11 000271.71
15/03/2020 034.12 000191.61 000066.23 000257.84
16/03/2020 033.28 000190.63 000055.46 000246.08
17/03/2020 032.71 000189.65 000046.72 000236.37
18/03/2020 033.91 000188.68 000044.28 000232.96
19/03/2020 036.03 000187.71 000045.30 000233.01
20/03/2020 036.86 000186.75 000042.33 000229.08
21/03/2020 044.38 000185.79 000078.95 000264.75
22/03/2020 055.05 000184.84 000159.53 000344.37
23/03/2020 055.85 000187.40 000176.84 000364.23
24/03/2020 048.41 000190.31 000148.04 000338.35
