Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 043.69 000192.95 000854.90 001047.85
24/02/2020 045.04 000192.00 000781.25 000973.25
25/02/2020 045.15 000191.52 000711.87 000903.39
26/02/2020 049.27 000191.09 000675.32 000866.41
27/02/2020 049.60 000192.73 000631.42 000824.15
28/02/2020 057.00 000194.55 000686.28 000880.83
29/02/2020 059.09 000200.97 000749.68 000950.65
01/03/2020 053.86 000208.86 000713.23 000922.09
02/03/2020 055.32 000213.11 000704.69 000917.81
03/03/2020 048.89 000218.30 000639.37 000857.66
04/03/2020 045.67 000219.60 000576.48 000796.08
05/03/2020 042.63 000219.28 000518.17 000737.45
06/03/2020 040.41 000218.20 000465.76 000683.96
07/03/2020 038.09 000217.12 000418.65 000635.77
08/03/2020 037.32 000216.05 000377.33 000593.38
09/03/2020 036.63 000214.98 000340.40 000555.38
10/03/2020 036.08 000213.92 000307.70 000521.62
11/03/2020 034.65 000212.86 000276.58 000489.44
12/03/2020 032.60 000211.81 000248.60 000460.41
13/03/2020 030.67 000210.76 000223.46 000434.22
14/03/2020 028.82 000209.72 000200.85 000410.58
15/03/2020 027.46 000208.69 000180.54 000389.23
16/03/2020 030.60 000207.66 000177.07 000384.73
17/03/2020 033.89 000206.63 000175.47 000382.10
18/03/2020 041.01 000205.61 000201.44 000407.06
19/03/2020 041.22 000204.60 000186.92 000391.51
20/03/2020 045.19 000203.59 000191.92 000395.50
21/03/2020 052.19 000203.11 000232.38 000435.49
22/03/2020 055.14 000206.37 000275.84 000482.21
23/03/2020 051.74 000211.47 000270.44 000481.91
24/03/2020 046.30 000214.41 000243.51 000457.92
