Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 030.01 000165.90 000228.53 000394.43
24/02/2020 033.31 000165.27 000225.18 000390.44
25/02/2020 035.36 000167.11 000221.94 000389.05
26/02/2020 035.97 000170.73 000210.30 000381.03
27/02/2020 036.28 000174.90 000200.40 000375.29
28/02/2020 036.46 000179.35 000192.30 000371.65
29/02/2020 036.72 000183.95 000188.13 000372.08
01/03/2020 037.38 000188.78 000193.35 000382.13
02/03/2020 040.58 000194.26 000261.16 000455.41
03/03/2020 040.73 000203.16 000280.82 000483.98
04/03/2020 039.10 000212.20 000262.77 000474.97
05/03/2020 034.84 000219.38 000215.56 000434.93
06/03/2020 032.53 000222.33 000176.83 000399.16
07/03/2020 031.13 000223.33 000145.06 000368.38
08/03/2020 030.22 000223.26 000119.00 000342.25
09/03/2020 029.64 000222.55 000097.62 000320.17
10/03/2020 029.13 000221.70 000080.08 000301.77
11/03/2020 028.63 000220.84 000065.69 000286.54
12/03/2020 028.12 000219.99 000053.89 000273.88
13/03/2020 027.62 000219.15 000044.21 000263.36
14/03/2020 027.13 000218.31 000036.26 000254.57
15/03/2020 026.67 000217.47 000029.75 000247.22
16/03/2020 026.36 000216.63 000024.49 000241.12
17/03/2020 026.08 000215.80 000020.24 000236.04
18/03/2020 025.78 000214.97 000016.68 000231.65
19/03/2020 025.45 000214.14 000013.70 000227.85
20/03/2020 025.62 000213.32 000014.70 000228.03
21/03/2020 028.76 000212.50 000042.94 000255.44
22/03/2020 031.18 000211.68 000057.79 000269.47
23/03/2020 033.37 000211.70 000072.62 000284.31
24/03/2020 031.89 000213.41 000059.75 000273.16
