Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 058.71 000077.83 000322.46 000400.29
24/02/2020 059.61 000080.64 000317.38 000398.02
25/02/2020 052.00 000083.82 000279.80 000363.62
26/02/2020 051.68 000084.06 000250.13 000334.18
27/02/2020 056.58 000084.18 000246.05 000330.24
28/02/2020 058.14 000086.09 000242.31 000328.41
29/02/2020 060.16 000088.62 000252.91 000341.53
01/03/2020 057.91 000092.00 000241.02 000333.03
02/03/2020 058.31 000094.41 000234.30 000328.71
03/03/2020 059.93 000096.97 000240.23 000337.20
04/03/2020 059.74 000100.21 000241.00 000341.20
05/03/2020 051.81 000103.34 000212.46 000315.81
06/03/2020 050.47 000103.42 000187.92 000291.34
07/03/2020 049.56 000103.06 000165.88 000268.94
08/03/2020 047.63 000102.55 000146.24 000248.79
09/03/2020 046.04 000102.04 000128.92 000230.96
10/03/2020 044.60 000101.54 000113.66 000215.20
11/03/2020 043.12 000101.04 000100.20 000201.24
12/03/2020 041.46 000100.54 000088.33 000188.87
13/03/2020 039.90 000100.04 000077.87 000177.92
14/03/2020 038.35 000099.55 000068.65 000168.20
15/03/2020 036.89 000099.06 000060.52 000159.58
16/03/2020 038.74 000098.57 000057.43 000156.00
17/03/2020 049.09 000098.08 000098.74 000196.82
18/03/2020 055.37 000097.60 000112.17 000209.77
19/03/2020 051.53 000098.97 000099.01 000197.99
20/03/2020 050.79 000098.98 000088.87 000187.85
21/03/2020 054.22 000098.74 000090.77 000189.51
22/03/2020 059.26 000099.68 000117.14 000216.82
23/03/2020 058.53 000102.61 000124.49 000227.11
24/03/2020 053.36 000105.23 000111.05 000216.28
