Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 064.71 000057.19 000229.40 000286.59
24/02/2020 067.24 000058.27 000240.28 000298.54
25/02/2020 068.51 000059.64 000234.90 000294.53
26/02/2020 069.24 000061.15 000225.14 000286.30
27/02/2020 070.15 000062.75 000221.39 000284.14
28/02/2020 071.82 000064.46 000235.52 000299.98
29/02/2020 076.16 000066.38 000277.00 000343.38
01/03/2020 083.44 000068.90 000328.52 000397.41
02/03/2020 079.99 000072.54 000375.22 000447.76
03/03/2020 079.73 000075.60 000374.09 000449.70
04/03/2020 079.31 000078.61 000370.50 000449.12
05/03/2020 078.99 000081.54 000366.68 000448.23
06/03/2020 074.66 000084.41 000320.10 000404.51
07/03/2020 070.87 000086.62 000280.48 000367.10
08/03/2020 067.54 000088.31 000246.74 000335.05
09/03/2020 064.64 000089.56 000217.96 000307.52
10/03/2020 062.22 000090.47 000193.36 000283.83
11/03/2020 060.03 000091.11 000172.29 000263.40
12/03/2020 058.17 000091.52 000154.21 000245.73
13/03/2020 056.17 000091.74 000138.65 000230.40
14/03/2020 054.36 000091.79 000125.23 000217.02
15/03/2020 052.70 000091.67 000113.62 000205.29
16/03/2020 051.70 000091.42 000103.64 000195.06
17/03/2020 051.34 000091.09 000096.81 000187.91
18/03/2020 051.16 000090.74 000091.78 000182.52
19/03/2020 053.51 000090.38 000103.91 000194.29
20/03/2020 054.90 000090.20 000107.49 000197.69
21/03/2020 059.61 000090.14 000154.85 000244.99
22/03/2020 059.93 000090.51 000146.43 000236.94
23/03/2020 061.78 000090.91 000154.09 000245.00
24/03/2020 060.89 000091.50 000139.04 000230.54
