Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 053.02 000077.50 000187.54 000265.04
24/02/2020 051.20 000079.33 000174.03 000253.35
25/02/2020 051.36 000080.72 000166.27 000246.99
26/02/2020 048.65 000082.14 000147.76 000229.90
27/02/2020 051.24 000082.97 000148.34 000231.31
28/02/2020 057.67 000084.36 000200.52 000284.88
29/02/2020 056.58 000087.35 000218.72 000306.07
01/03/2020 052.90 000090.03 000205.02 000295.04
02/03/2020 052.97 000091.77 000196.71 000288.47
03/03/2020 046.49 000093.52 000165.98 000259.50
04/03/2020 043.85 000093.86 000140.14 000234.01
05/03/2020 041.20 000093.74 000117.85 000211.58
06/03/2020 039.73 000093.30 000099.10 000192.40
07/03/2020 038.32 000092.87 000083.33 000176.20
08/03/2020 036.61 000092.45 000070.07 000162.52
09/03/2020 035.50 000092.02 000058.92 000150.94
10/03/2020 034.86 000091.59 000049.70 000141.30
11/03/2020 034.31 000091.17 000042.05 000133.22
12/03/2020 033.24 000090.75 000035.36 000126.11
13/03/2020 031.82 000090.33 000029.73 000120.06
14/03/2020 030.45 000089.92 000025.00 000114.92
15/03/2020 029.08 000089.50 000021.02 000110.53
16/03/2020 031.25 000089.09 000022.29 000111.38
17/03/2020 035.46 000088.68 000028.66 000117.34
18/03/2020 045.28 000088.27 000062.93 000151.20
19/03/2020 049.28 000088.42 000071.43 000159.85
20/03/2020 052.10 000089.35 000085.70 000175.05
21/03/2020 051.98 000090.91 000091.81 000182.71
22/03/2020 050.89 000092.42 000091.61 000184.03
23/03/2020 050.95 000093.69 000093.33 000187.02
24/03/2020 046.00 000094.96 000079.50 000174.46
