Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 056.17 000259.08 000571.66 000830.74
24/02/2020 048.16 000271.47 000532.50 000803.98
25/02/2020 047.26 000274.89 000505.62 000780.51
26/02/2020 055.89 000277.42 000594.02 000871.44
27/02/2020 056.36 000289.33 000645.69 000935.02
28/02/2020 059.20 000301.76 000759.01 001060.77
29/02/2020 059.47 000317.82 000866.27 001184.09
01/03/2020 052.01 000334.14 000825.13 001159.27
02/03/2020 048.00 000341.11 000768.12 001109.22
03/03/2020 043.54 000343.88 000704.41 001048.29
04/03/2020 041.40 000342.70 000645.97 000988.66
05/03/2020 039.22 000340.33 000592.35 000932.68
06/03/2020 037.14 000337.98 000543.19 000881.17
07/03/2020 035.16 000335.64 000498.11 000833.75
08/03/2020 033.81 000333.33 000456.77 000790.09
09/03/2020 032.14 000331.02 000418.86 000749.88
10/03/2020 030.50 000328.74 000384.09 000712.83
11/03/2020 028.92 000326.47 000352.22 000678.68
12/03/2020 027.73 000324.21 000322.98 000647.19
13/03/2020 026.30 000321.97 000296.18 000618.15
14/03/2020 024.91 000319.75 000271.60 000591.34
15/03/2020 024.76 000317.54 000251.76 000569.30
16/03/2020 028.29 000315.35 000246.93 000562.28
17/03/2020 028.46 000313.17 000230.95 000544.12
18/03/2020 028.76 000311.00 000216.65 000527.65
19/03/2020 028.36 000308.86 000200.17 000509.02
20/03/2020 028.33 000306.72 000187.48 000494.20
21/03/2020 044.15 000304.60 000326.75 000631.35
22/03/2020 045.69 000304.19 000315.68 000619.87
23/03/2020 044.31 000305.10 000296.02 000601.12
24/03/2020 041.12 000304.81 000271.46 000576.27
