                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
24/03/2020               146.93                 0.00               859.40               217.25                50.14                20.75                59.36               132.54               275.60                54.27                34.69                 1.09               512.25               372.22               338.30
25/03/2020               140.36                 0.00               811.00               208.14                48.03                19.88                56.87               126.98               265.34                52.79                33.75                 1.05               487.43               354.07               314.11
26/03/2020               134.45                 0.00               764.80               199.72                46.09                19.07                54.56               121.84               255.12                51.64                33.01                 1.02               463.68               337.56               292.99
27/03/2020               129.20                 0.00               723.25               191.93                44.29                18.33                52.44               117.09               245.45                50.71                32.42                 0.99               443.09               322.87               275.15
28/03/2020               124.51                 0.00               686.40               184.73                42.63                17.64                50.47               112.70               236.69                49.95                31.93                 0.96               425.45               309.80               260.07
29/03/2020               120.33                 0.00               653.72               178.07                41.09                17.00                48.65               108.64               228.75                49.30                31.52                 0.94               410.26               298.18               247.28
30/03/2020               116.60                 0.00               624.70               171.90                39.67                16.41                46.96               104.87               221.57                48.73                31.16                 0.92               397.25               288.09               236.43
31/03/2020               114.10                 0.00               600.90               167.32                38.61                15.98                45.71               102.08               216.88                49.49                31.64                 0.91               387.98               280.68               227.20
01/04/2020               111.85                 0.00               581.69               163.07                37.63                15.57                44.55                99.49               212.74                50.37                32.20                 0.91               383.58               276.46               219.83
02/04/2020               110.63                 0.00               567.56               158.82                36.65                15.17                43.39                96.89               208.50                50.60                32.35                 0.91               384.54               275.54               213.73
03/04/2020               109.20                 0.00               552.47               154.17                35.58                14.72                42.12                94.06               203.66                49.90                31.91                 0.90               385.14               272.52               208.63
04/04/2020               107.02                 0.00               537.17               149.83                34.58                14.31                40.94                91.41               198.83                49.02                31.34                 0.89               382.37               267.26               204.48
