Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 041.98 000018.28 000008.52 000026.80
24/02/2020 041.09 000018.07 000007.08 000025.14
25/02/2020 044.57 000017.85 000018.79 000036.64
26/02/2020 054.51 000017.64 000081.71 000099.34
27/02/2020 064.96 000017.49 000162.64 000180.13
28/02/2020 062.54 000017.53 000132.65 000150.17
29/02/2020 060.19 000017.52 000108.18 000125.70
01/03/2020 057.97 000017.46 000088.23 000105.69
02/03/2020 056.20 000017.37 000071.96 000089.33
03/03/2020 054.89 000017.25 000058.70 000075.95
04/03/2020 053.50 000017.11 000047.87 000064.99
05/03/2020 052.11 000016.96 000039.04 000056.00
06/03/2020 050.49 000016.78 000031.84 000048.63
07/03/2020 049.09 000016.59 000025.97 000042.56
08/03/2020 049.98 000016.39 000025.15 000041.54
09/03/2020 049.94 000016.20 000022.47 000038.67
10/03/2020 048.40 000016.01 000018.33 000034.33
11/03/2020 046.90 000015.82 000014.95 000030.76
12/03/2020 045.45 000015.63 000012.19 000027.82
13/03/2020 044.05 000015.44 000009.94 000025.38
14/03/2020 042.69 000015.26 000008.11 000023.37
15/03/2020 041.36 000015.08 000006.61 000021.69
16/03/2020 040.09 000014.90 000005.39 000020.29
17/03/2020 039.01 000014.72 000004.40 000019.12
18/03/2020 038.63 000014.55 000004.18 000018.73
19/03/2020 045.20 000014.37 000030.25 000044.63
20/03/2020 048.61 000014.20 000036.73 000050.93
21/03/2020 047.24 000014.03 000029.96 000043.99
22/03/2020 045.78 000013.87 000024.43 000038.30
23/03/2020 044.36 000013.70 000019.92 000033.63
24/03/2020 042.99 000013.54 000016.25 000029.79
