Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 030.45 000022.56 000000.00 000022.56
24/02/2020 030.24 000022.04 000001.29 000023.33
25/02/2020 040.10 000021.54 000092.33 000113.86
26/02/2020 048.53 000021.54 000141.87 000163.41
27/02/2020 048.42 000022.25 000088.82 000111.07
28/02/2020 047.86 000022.93 000055.98 000078.92
29/02/2020 048.24 000023.55 000040.42 000063.96
01/03/2020 047.90 000024.18 000028.32 000052.51
02/03/2020 046.17 000024.77 000016.62 000041.39
03/03/2020 044.68 000025.19 000009.75 000034.94
04/03/2020 043.22 000025.47 000005.72 000031.19
05/03/2020 041.75 000025.62 000003.36 000028.98
06/03/2020 040.36 000025.65 000001.97 000027.62
07/03/2020 039.88 000025.58 000002.32 000027.90
08/03/2020 039.57 000025.48 000003.22 000028.70
09/03/2020 038.47 000025.36 000001.89 000027.25
10/03/2020 037.34 000025.16 000001.11 000026.27
11/03/2020 036.24 000024.90 000000.65 000025.55
12/03/2020 035.20 000024.57 000000.38 000024.95
13/03/2020 034.22 000024.19 000000.22 000024.42
14/03/2020 033.27 000023.77 000000.13 000023.90
15/03/2020 032.37 000023.31 000000.08 000023.38
16/03/2020 031.52 000022.81 000000.05 000022.85
17/03/2020 030.84 000022.29 000000.03 000022.31
18/03/2020 035.31 000021.78 000023.43 000045.20
19/03/2020 039.33 000021.47 000036.06 000057.53
20/03/2020 039.20 000021.42 000023.66 000045.08
21/03/2020 038.27 000021.37 000013.89 000035.25
22/03/2020 037.54 000021.25 000008.29 000029.54
23/03/2020 037.00 000021.09 000005.37 000026.46
24/03/2020 035.92 000020.90 000003.15 000024.05
