Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 044.98 000053.99 000015.66 000069.65
24/02/2020 043.70 000052.76 000011.87 000064.62
25/02/2020 045.87 000051.55 000042.89 000094.44
26/02/2020 053.69 000050.38 000230.89 000281.27
27/02/2020 058.98 000049.59 000304.75 000354.34
28/02/2020 060.73 000049.44 000272.68 000322.12
29/02/2020 058.93 000049.52 000206.65 000256.17
01/03/2020 057.09 000049.36 000156.61 000205.97
02/03/2020 055.55 000048.98 000118.69 000167.67
03/03/2020 054.11 000048.44 000089.95 000138.39
04/03/2020 052.85 000047.74 000068.17 000115.91
05/03/2020 051.54 000046.93 000051.66 000098.59
06/03/2020 050.22 000046.00 000039.15 000085.16
07/03/2020 049.01 000044.97 000029.67 000074.65
08/03/2020 050.08 000043.95 000038.62 000082.57
09/03/2020 049.73 000042.95 000032.05 000075.00
10/03/2020 048.55 000041.97 000024.29 000066.26
11/03/2020 047.30 000041.01 000018.41 000059.42
12/03/2020 046.10 000040.07 000013.95 000054.03
13/03/2020 045.06 000039.16 000010.57 000049.73
14/03/2020 043.97 000038.26 000008.01 000046.28
15/03/2020 042.86 000037.39 000006.07 000043.46
16/03/2020 041.75 000036.54 000004.60 000041.14
17/03/2020 040.70 000035.70 000003.49 000039.19
18/03/2020 043.28 000034.89 000034.12 000069.01
19/03/2020 046.83 000034.09 000075.47 000109.56
20/03/2020 049.06 000033.31 000087.22 000120.53
21/03/2020 049.73 000032.55 000078.16 000110.71
22/03/2020 048.64 000031.81 000059.23 000091.04
23/03/2020 047.44 000031.08 000044.89 000075.97
24/03/2020 046.27 000030.37 000034.02 000064.39
