Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 048.12 000018.84 000001.79 000020.63
24/02/2020 047.10 000018.41 000001.42 000019.83
25/02/2020 047.03 000017.99 000001.81 000019.80
26/02/2020 047.04 000017.58 000002.28 000019.87
27/02/2020 047.07 000017.18 000002.67 000019.85
28/02/2020 046.16 000016.79 000002.12 000018.91
29/02/2020 045.23 000016.40 000001.68 000018.09
01/03/2020 044.32 000016.03 000001.34 000017.37
02/03/2020 043.49 000015.66 000001.06 000016.72
03/03/2020 042.70 000015.31 000000.84 000016.15
04/03/2020 041.90 000014.96 000000.67 000015.62
05/03/2020 041.11 000014.61 000000.53 000015.15
06/03/2020 040.33 000014.28 000000.42 000014.70
07/03/2020 039.72 000013.95 000000.33 000014.29
08/03/2020 039.52 000013.64 000000.48 000014.11
09/03/2020 039.02 000013.32 000000.38 000013.70
10/03/2020 038.37 000013.02 000000.30 000013.32
11/03/2020 037.73 000012.72 000000.24 000012.96
12/03/2020 037.04 000012.43 000000.19 000012.62
13/03/2020 036.33 000012.15 000000.15 000012.30
14/03/2020 035.64 000011.87 000000.12 000011.99
15/03/2020 034.96 000011.60 000000.10 000011.69
16/03/2020 034.29 000011.33 000000.08 000011.41
17/03/2020 033.93 000011.08 000000.08 000011.16
18/03/2020 037.37 000010.82 000006.49 000017.31
19/03/2020 042.26 000010.58 000017.03 000027.61
20/03/2020 045.70 000010.33 000020.96 000031.29
21/03/2020 045.81 000010.10 000017.34 000027.43
22/03/2020 045.77 000009.87 000014.28 000024.15
23/03/2020 045.53 000009.64 000011.56 000021.21
24/03/2020 044.67 000009.42 000009.18 000018.60
