Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 038.68 000041.33 000069.53 000110.85
24/02/2020 037.55 000041.02 000061.94 000102.96
25/02/2020 039.36 000040.68 000066.34 000107.03
26/02/2020 049.71 000040.40 000173.63 000214.03
27/02/2020 059.11 000040.42 000279.77 000320.20
28/02/2020 065.54 000040.83 000337.56 000378.39
29/02/2020 066.44 000041.55 000316.53 000358.07
01/03/2020 066.85 000042.30 000294.41 000336.71
02/03/2020 064.77 000043.06 000262.29 000305.36
03/03/2020 062.67 000043.71 000233.68 000277.39
04/03/2020 060.58 000044.25 000208.18 000252.43
05/03/2020 058.92 000044.68 000185.47 000230.15
06/03/2020 057.36 000045.03 000165.23 000210.26
07/03/2020 055.89 000045.31 000147.21 000192.52
08/03/2020 054.16 000045.52 000131.15 000176.67
09/03/2020 052.33 000045.65 000116.84 000162.50
10/03/2020 050.56 000045.72 000104.09 000149.81
11/03/2020 048.86 000045.71 000092.74 000138.45
12/03/2020 047.23 000045.65 000082.62 000128.27
13/03/2020 045.60 000045.54 000073.61 000119.14
14/03/2020 044.05 000045.37 000065.58 000110.94
15/03/2020 042.55 000045.15 000058.42 000103.57
16/03/2020 041.16 000044.90 000052.05 000096.95
17/03/2020 040.70 000044.61 000047.31 000091.92
18/03/2020 039.92 000044.31 000042.27 000086.59
19/03/2020 042.30 000044.00 000050.35 000094.34
20/03/2020 043.59 000043.75 000052.58 000096.32
21/03/2020 044.69 000043.54 000053.97 000097.51
22/03/2020 044.80 000043.37 000051.72 000095.08
23/03/2020 044.78 000043.20 000049.35 000092.55
24/03/2020 043.32 000043.03 000043.97 000087.00
