                 SANTA CLARA-PR               FUNDÃO               JORDÃO         G. B. MUNHOZ              SEGREDO       SALTO SANTIAGO         SALTO OSORIO         SALTO CAXIAS       SEGREDO+JORDAO
                            071                  072                  073                  074                  076                  077                  078                  222                  976
                          TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
24/03/2020                18.60                 0.94                 3.78               126.43                19.34                16.61                 6.57                41.21                 0.00
25/03/2020                16.48                 0.88                 3.53               112.22                18.10                14.31                 5.66                35.50                 0.00
26/03/2020                14.76                 0.84                 3.37               104.68                17.25                12.53                 4.95                31.07                 0.00
27/03/2020                13.36                 0.81                 3.24                98.07                16.60                11.14                 4.40                27.62                 0.00
28/03/2020                12.21                 0.78                 3.15                92.26                16.13                10.04                 3.97                24.92                 0.00
29/03/2020                11.26                 0.78                 3.13                87.16                16.01                 9.67                 3.82                23.99                 0.00
30/03/2020                10.64                 0.78                 3.12                82.99                16.00                 9.50                 3.76                23.58                 0.00
31/03/2020                10.05                 0.77                 3.09                79.54                15.82                 9.49                 3.75                23.54                 0.00
01/04/2020                 9.49                 0.73                 2.96                76.60                15.15                 9.22                 3.64                22.86                 0.00
02/04/2020                 9.02                 0.71                 2.87                74.95                14.72                 8.67                 3.43                21.50                 0.00
03/04/2020                 8.81                 0.70                 2.83                74.36                14.50                 8.45                 3.34                20.95                 0.00
04/04/2020                 8.64                 0.76                 3.04                74.46                15.58                 8.31                 3.28                20.60                 0.00
