Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 046.25 000142.14 000037.69 000179.83
24/02/2020 044.75 000141.99 000026.65 000168.64
25/02/2020 043.39 000141.56 000018.84 000160.40
26/02/2020 046.40 000140.91 000083.71 000224.62
27/02/2020 052.74 000140.80 000276.74 000417.54
28/02/2020 052.83 000141.99 000215.54 000357.53
29/02/2020 051.26 000143.18 000152.41 000295.59
01/03/2020 049.79 000144.00 000107.77 000251.78
02/03/2020 048.85 000144.51 000077.54 000222.05
03/03/2020 047.75 000144.81 000055.11 000199.92
04/03/2020 047.07 000144.90 000041.96 000186.86
05/03/2020 046.54 000144.84 000034.49 000179.33
06/03/2020 045.40 000144.70 000024.39 000169.08
07/03/2020 044.06 000144.34 000017.24 000161.58
08/03/2020 043.08 000143.75 000012.27 000156.02
09/03/2020 043.29 000143.01 000020.63 000163.64
10/03/2020 043.35 000142.32 000025.17 000167.49
11/03/2020 042.98 000141.65 000023.05 000164.69
12/03/2020 041.74 000140.92 000016.30 000157.22
13/03/2020 040.56 000140.01 000011.52 000151.54
14/03/2020 039.44 000138.93 000008.15 000147.08
15/03/2020 038.35 000137.71 000005.76 000143.47
16/03/2020 037.32 000136.35 000004.07 000140.42
17/03/2020 036.41 000134.87 000002.88 000137.75
18/03/2020 036.53 000133.30 000010.77 000144.06
19/03/2020 036.68 000131.77 000016.61 000148.38
20/03/2020 037.95 000130.29 000033.64 000163.92
21/03/2020 038.73 000129.00 000039.81 000168.81
22/03/2020 037.72 000127.83 000028.15 000155.99
23/03/2020 036.71 000126.55 000019.91 000146.46
24/03/2020 035.74 000125.16 000014.08 000139.24
