Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 030.90 000198.90 000032.21 000231.10
24/02/2020 030.55 000198.37 000022.62 000220.99
25/02/2020 030.33 000197.59 000017.77 000215.36
26/02/2020 035.56 000196.66 000116.62 000313.28
27/02/2020 035.17 000200.05 000107.86 000307.91
28/02/2020 033.34 000203.04 000076.84 000279.89
29/02/2020 031.93 000204.41 000044.29 000248.70
01/03/2020 030.97 000204.62 000025.56 000230.18
02/03/2020 030.27 000204.12 000014.37 000218.48
03/03/2020 029.69 000203.11 000008.06 000211.17
04/03/2020 029.17 000201.92 000004.53 000206.44
05/03/2020 028.66 000200.73 000002.54 000203.27
06/03/2020 028.15 000199.56 000001.43 000200.98
07/03/2020 027.64 000198.39 000000.80 000199.19
08/03/2020 027.13 000197.23 000000.45 000197.68
09/03/2020 026.67 000196.07 000000.25 000196.32
10/03/2020 026.22 000194.92 000000.14 000195.07
11/03/2020 025.75 000193.78 000000.08 000193.86
12/03/2020 025.29 000192.65 000000.04 000192.69
13/03/2020 024.84 000191.52 000000.02 000191.54
14/03/2020 024.38 000190.40 000000.01 000190.41
15/03/2020 023.94 000189.28 000000.01 000189.29
16/03/2020 023.50 000188.17 000000.00 000188.18
17/03/2020 023.11 000187.07 000000.00 000187.07
18/03/2020 023.09 000185.98 000004.09 000190.07
19/03/2020 024.71 000184.89 000023.46 000208.34
20/03/2020 029.74 000183.80 000107.41 000291.21
21/03/2020 033.15 000182.73 000112.66 000295.39
22/03/2020 031.95 000184.05 000083.09 000267.15
23/03/2020 031.07 000184.41 000047.53 000231.94
24/03/2020 030.53 000184.09 000028.00 000212.09
