Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 026.69 000499.44 000111.01 000610.45
24/02/2020 026.08 000494.78 000086.67 000581.45
25/02/2020 025.55 000490.17 000067.66 000557.83
26/02/2020 031.85 000485.60 000306.08 000791.68
27/02/2020 032.37 000487.41 000272.79 000760.20
28/02/2020 031.39 000491.11 000218.29 000709.40
29/02/2020 030.35 000491.21 000170.42 000661.64
01/03/2020 029.63 000487.76 000133.05 000620.81
02/03/2020 029.04 000483.21 000103.87 000587.09
03/03/2020 028.45 000478.71 000081.10 000559.80
04/03/2020 027.88 000474.24 000063.31 000537.56
05/03/2020 027.29 000469.82 000049.43 000519.25
06/03/2020 026.71 000465.44 000038.59 000504.03
07/03/2020 026.15 000461.10 000030.13 000491.23
08/03/2020 025.67 000456.80 000023.52 000480.33
09/03/2020 025.21 000452.55 000018.36 000470.91
10/03/2020 024.69 000448.33 000014.34 000462.66
11/03/2020 024.17 000444.15 000011.19 000455.34
12/03/2020 023.66 000440.01 000008.74 000448.74
13/03/2020 023.16 000435.90 000006.82 000442.73
14/03/2020 022.67 000431.84 000005.33 000437.17
15/03/2020 022.19 000427.81 000004.16 000431.97
16/03/2020 021.72 000423.83 000003.25 000427.07
17/03/2020 021.27 000419.87 000002.53 000422.41
18/03/2020 020.86 000415.96 000001.98 000417.94
19/03/2020 022.46 000412.08 000036.72 000448.81
20/03/2020 028.75 000408.24 000257.44 000665.68
21/03/2020 030.83 000404.43 000252.75 000657.18
22/03/2020 030.00 000403.42 000197.32 000600.75
23/03/2020 029.50 000399.66 000154.05 000553.71
24/03/2020 028.89 000395.93 000120.27 000516.20
