Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 049.51 000232.89 000116.14 000349.03
24/02/2020 048.48 000233.09 000130.24 000363.33
25/02/2020 045.96 000233.19 000111.09 000344.29
26/02/2020 046.29 000233.09 000138.67 000371.76
27/02/2020 047.93 000233.02 000184.63 000417.65
28/02/2020 047.33 000233.08 000187.41 000420.49
29/02/2020 045.85 000233.09 000171.40 000404.49
01/03/2020 045.13 000232.98 000171.47 000404.46
02/03/2020 045.14 000232.82 000171.55 000404.37
03/03/2020 043.98 000232.66 000154.67 000387.33
04/03/2020 042.21 000232.41 000129.72 000362.12
05/03/2020 040.41 000232.03 000107.65 000339.68
06/03/2020 038.10 000231.53 000085.78 000317.32
07/03/2020 036.11 000230.90 000068.66 000299.56
08/03/2020 035.10 000230.15 000061.91 000292.06
09/03/2020 033.26 000229.35 000049.31 000278.66
10/03/2020 031.63 000228.47 000039.39 000267.86
11/03/2020 030.19 000227.51 000031.65 000259.17
12/03/2020 028.98 000226.51 000026.04 000252.54
13/03/2020 027.85 000225.50 000021.66 000247.15
14/03/2020 026.36 000224.49 000017.19 000241.68
15/03/2020 024.71 000223.49 000013.64 000237.13
16/03/2020 023.14 000222.49 000010.83 000233.32
17/03/2020 021.69 000221.50 000008.60 000230.09
18/03/2020 021.27 000220.51 000013.39 000233.90
19/03/2020 020.25 000219.53 000010.68 000230.21
20/03/2020 021.73 000218.55 000037.66 000256.21
21/03/2020 024.98 000217.57 000079.13 000296.70
22/03/2020 027.71 000216.60 000107.77 000324.37
23/03/2020 030.14 000215.63 000128.72 000344.35
24/03/2020 029.65 000214.68 000111.21 000325.89
