Data       TU     EB        SUP       Qajustada
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 046.74 000237.42 000066.19 000303.61
24/02/2020 045.26 000236.53 000052.54 000289.07
25/02/2020 043.75 000235.46 000041.70 000277.16
26/02/2020 043.11 000234.23 000036.82 000271.05
27/02/2020 046.51 000232.93 000119.39 000352.32
28/02/2020 048.67 000232.06 000154.62 000386.68
29/02/2020 049.47 000231.48 000154.23 000385.72
01/03/2020 048.07 000231.02 000122.42 000353.44
02/03/2020 046.54 000230.38 000097.17 000327.54
03/03/2020 045.11 000229.54 000077.12 000306.66
04/03/2020 043.89 000228.53 000061.21 000289.74
05/03/2020 042.79 000227.38 000048.58 000275.96
06/03/2020 041.54 000226.12 000038.56 000264.68
07/03/2020 040.30 000224.73 000030.61 000255.34
08/03/2020 039.38 000223.23 000024.30 000247.53
09/03/2020 038.81 000221.65 000020.93 000242.58
10/03/2020 038.65 000220.03 000024.74 000244.76
11/03/2020 038.78 000218.41 000031.16 000249.57
12/03/2020 037.95 000216.82 000024.79 000241.61
13/03/2020 036.86 000215.17 000019.68 000234.85
14/03/2020 035.81 000213.43 000015.62 000229.05
15/03/2020 034.80 000211.63 000012.40 000224.03
16/03/2020 033.83 000209.76 000009.84 000219.60
17/03/2020 032.95 000207.83 000007.81 000215.64
18/03/2020 033.13 000205.86 000016.57 000222.43
19/03/2020 035.04 000203.92 000046.80 000250.71
20/03/2020 037.08 000202.14 000074.58 000276.72
21/03/2020 039.80 000200.57 000113.11 000313.68
22/03/2020 039.62 000199.27 000097.82 000297.09
23/03/2020 038.68 000197.96 000077.64 000275.60
24/03/2020 037.58 000196.57 000061.63 000258.20
