Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 040.67 000247.41 000176.51 000423.92
24/02/2020 042.73 000248.73 000187.27 000436.00
25/02/2020 046.73 000250.92 000259.24 000510.17
26/02/2020 050.03 000254.99 000318.24 000573.23
27/02/2020 054.66 000260.78 000456.40 000717.18
28/02/2020 057.35 000269.27 000525.44 000794.72
29/02/2020 056.05 000279.45 000450.74 000730.20
01/03/2020 054.70 000288.68 000385.79 000674.47
02/03/2020 054.97 000296.96 000367.40 000664.36
03/03/2020 057.72 000305.34 000457.26 000762.60
04/03/2020 058.53 000315.46 000470.40 000785.86
05/03/2020 055.35 000326.05 000371.20 000697.25
06/03/2020 055.76 000334.42 000366.74 000701.16
07/03/2020 057.57 000342.99 000422.68 000765.67
08/03/2020 056.56 000352.68 000378.92 000731.60
09/03/2020 056.21 000361.62 000358.17 000719.79
10/03/2020 053.48 000370.24 000286.72 000656.96
11/03/2020 050.31 000377.06 000219.67 000596.73
12/03/2020 046.67 000381.95 000162.51 000544.46
13/03/2020 043.68 000384.85 000120.23 000505.08
14/03/2020 041.08 000386.30 000088.95 000475.24
15/03/2020 039.14 000386.59 000065.82 000452.41
16/03/2020 037.24 000386.11 000048.69 000434.80
17/03/2020 035.59 000384.93 000036.02 000420.95
18/03/2020 034.15 000383.19 000026.65 000409.84
19/03/2020 032.91 000381.01 000019.72 000400.73
20/03/2020 033.80 000378.49 000032.03 000410.51
21/03/2020 034.77 000376.25 000043.18 000419.42
22/03/2020 036.02 000374.32 000056.33 000430.65
23/03/2020 038.13 000372.82 000081.42 000454.24
24/03/2020 041.84 000372.08 000141.35 000513.43
