Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 038.84 000077.45 000116.91 000194.36
24/02/2020 043.33 000079.94 000138.39 000218.33
25/02/2020 046.73 000084.57 000173.51 000258.08
26/02/2020 047.54 000091.04 000200.38 000291.42
27/02/2020 042.76 000097.93 000179.76 000277.69
28/02/2020 044.51 000102.10 000186.55 000288.66
29/02/2020 043.74 000107.17 000180.89 000288.05
01/03/2020 043.13 000111.77 000173.81 000285.58
02/03/2020 042.03 000116.01 000161.70 000277.71
03/03/2020 046.32 000119.65 000191.76 000311.41
04/03/2020 047.48 000125.58 000214.73 000340.31
05/03/2020 039.68 000132.13 000178.90 000311.03
06/03/2020 042.05 000134.51 000175.04 000309.55
07/03/2020 046.74 000138.00 000207.34 000345.34
08/03/2020 039.69 000144.00 000173.54 000317.55
09/03/2020 035.72 000146.28 000143.27 000289.55
10/03/2020 033.09 000146.87 000117.14 000264.02
11/03/2020 031.20 000146.52 000095.54 000242.06
12/03/2020 030.02 000145.57 000077.92 000223.49
13/03/2020 029.31 000144.29 000063.57 000207.86
14/03/2020 028.65 000143.01 000051.88 000194.89
15/03/2020 027.99 000141.75 000042.34 000184.08
16/03/2020 027.65 000140.49 000035.06 000175.56
17/03/2020 026.96 000139.25 000028.60 000167.85
18/03/2020 026.56 000138.02 000023.66 000161.68
19/03/2020 026.50 000136.80 000020.87 000157.67
20/03/2020 035.51 000135.59 000058.99 000194.58
21/03/2020 044.79 000136.19 000121.01 000257.20
22/03/2020 044.37 000141.10 000130.98 000272.08
23/03/2020 037.57 000145.74 000107.80 000253.55
24/03/2020 035.61 000147.08 000091.92 000239.00
