Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 041.32 000313.98 000175.62 000489.61
24/02/2020 048.35 000311.73 000250.12 000561.84
25/02/2020 054.73 000314.30 000384.01 000698.31
26/02/2020 057.50 000323.54 000520.34 000843.88
27/02/2020 056.53 000336.05 000572.43 000908.48
28/02/2020 053.44 000347.28 000539.50 000886.78
29/02/2020 050.54 000354.82 000480.33 000835.15
01/03/2020 049.04 000359.22 000427.03 000786.25
02/03/2020 055.67 000362.11 000545.92 000908.03
03/03/2020 059.06 000372.11 000702.27 001074.38
04/03/2020 058.16 000386.27 000762.16 001148.43
05/03/2020 051.87 000399.17 000658.05 001057.22
06/03/2020 052.44 000404.63 000616.63 001021.26
07/03/2020 053.14 000410.66 000592.94 001003.61
08/03/2020 049.64 000417.41 000512.15 000929.56
09/03/2020 045.89 000420.47 000425.38 000845.84
10/03/2020 043.56 000420.06 000351.61 000771.66
11/03/2020 041.91 000417.76 000290.04 000707.80
12/03/2020 040.34 000414.75 000239.24 000654.00
13/03/2020 038.80 000411.77 000197.34 000609.11
14/03/2020 037.31 000408.81 000162.78 000571.59
15/03/2020 036.09 000405.87 000134.27 000540.14
16/03/2020 034.85 000402.95 000110.76 000513.70
17/03/2020 033.56 000400.05 000091.36 000491.41
18/03/2020 032.48 000397.17 000075.36 000472.53
19/03/2020 031.54 000394.31 000062.18 000456.49
20/03/2020 031.45 000391.48 000056.93 000448.41
21/03/2020 031.60 000388.66 000054.55 000443.21
22/03/2020 032.67 000385.86 000057.74 000443.61
23/03/2020 034.58 000383.09 000066.61 000449.69
24/03/2020 034.86 000380.33 000063.59 000443.92
