Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 039.90 000232.92 000262.21 000495.13
24/02/2020 041.61 000234.18 000270.10 000504.28
25/02/2020 044.51 000235.98 000307.11 000543.10
26/02/2020 046.40 000238.81 000332.46 000571.27
27/02/2020 046.76 000242.34 000333.41 000575.75
28/02/2020 052.34 000246.00 000487.02 000733.03
29/02/2020 056.40 000252.08 000637.08 000889.16
01/03/2020 058.46 000260.15 000744.13 001004.27
02/03/2020 058.41 000269.27 000767.13 001036.40
03/03/2020 055.91 000278.32 000709.39 000987.71
04/03/2020 049.54 000285.99 000588.91 000874.91
05/03/2020 044.35 000290.58 000488.31 000778.89
06/03/2020 040.80 000293.06 000404.95 000698.01
07/03/2020 040.45 000294.28 000359.17 000653.45
08/03/2020 039.48 000295.39 000314.43 000609.82
09/03/2020 036.91 000296.18 000260.73 000556.91
10/03/2020 034.77 000296.22 000216.19 000512.41
11/03/2020 033.00 000295.69 000179.26 000474.95
12/03/2020 031.48 000294.74 000148.63 000443.38
13/03/2020 030.05 000293.47 000123.24 000416.71
14/03/2020 029.00 000291.92 000102.19 000394.11
15/03/2020 027.97 000290.37 000084.73 000375.10
16/03/2020 026.94 000288.82 000070.26 000359.08
17/03/2020 025.86 000287.29 000058.25 000345.54
18/03/2020 024.80 000285.76 000048.30 000334.06
19/03/2020 024.19 000284.24 000040.83 000325.07
20/03/2020 024.98 000282.73 000049.20 000331.93
21/03/2020 029.51 000281.22 000098.80 000380.02
22/03/2020 030.75 000279.73 000102.34 000382.07
23/03/2020 033.60 000278.39 000124.33 000402.72
24/03/2020 036.04 000277.67 000143.28 000420.95
