Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 038.12 000398.07 000222.86 000620.93
24/02/2020 036.53 000400.84 000185.79 000586.63
25/02/2020 034.92 000402.28 000151.32 000553.60
26/02/2020 040.11 000402.47 000222.36 000624.83
27/02/2020 045.37 000406.98 000363.84 000770.82
28/02/2020 046.86 000416.86 000458.69 000875.55
29/02/2020 048.35 000428.37 000574.59 001002.96
01/03/2020 049.65 000441.59 000707.32 001148.91
02/03/2020 050.33 000456.36 000824.05 001280.41
03/03/2020 046.86 000471.89 000754.01 001225.90
04/03/2020 038.51 000483.00 000561.62 001044.62
05/03/2020 034.56 000485.47 000416.50 000901.97
06/03/2020 032.18 000484.78 000308.26 000793.04
07/03/2020 031.19 000482.48 000231.24 000713.72
08/03/2020 034.34 000479.58 000211.19 000690.78
09/03/2020 035.22 000478.78 000183.80 000662.57
10/03/2020 032.85 000478.62 000137.39 000616.02
11/03/2020 033.68 000476.80 000122.31 000599.11
12/03/2020 032.28 000475.55 000095.55 000571.09
13/03/2020 030.90 000473.38 000071.17 000544.55
14/03/2020 030.27 000470.38 000054.96 000525.34
15/03/2020 030.01 000467.04 000044.92 000511.96
16/03/2020 029.64 000463.58 000035.28 000498.86
17/03/2020 029.08 000460.13 000026.71 000486.85
18/03/2020 029.02 000456.72 000025.77 000482.49
19/03/2020 029.20 000453.33 000026.99 000480.31
20/03/2020 029.15 000449.96 000025.91 000475.86
21/03/2020 028.93 000446.62 000022.75 000469.37
22/03/2020 031.62 000443.30 000045.58 000488.88
23/03/2020 036.06 000440.96 000096.29 000537.25
24/03/2020 033.79 000441.73 000077.55 000519.28
