Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 055.27 000631.78 000033.72 000665.50
24/02/2020 054.98 000632.35 000058.23 000690.57
25/02/2020 055.86 000632.83 000102.02 000734.85
26/02/2020 055.85 000633.56 000122.33 000755.89
27/02/2020 053.51 000634.28 000104.88 000739.16
28/02/2020 054.58 000634.33 000141.66 000775.99
29/02/2020 058.84 000634.68 000284.13 000918.81
01/03/2020 061.65 000636.30 000372.94 001009.25
02/03/2020 063.91 000638.83 000434.34 001073.18
03/03/2020 063.41 000642.12 000410.14 001052.26
04/03/2020 067.03 000645.21 000548.43 001193.64
05/03/2020 063.17 000649.58 000464.99 001114.58
06/03/2020 062.28 000652.53 000425.52 001078.05
07/03/2020 063.59 000655.16 000447.45 001102.60
08/03/2020 063.84 000658.22 000439.14 001097.36
09/03/2020 061.47 000661.34 000379.44 001040.78
10/03/2020 057.98 000663.64 000321.71 000985.35
11/03/2020 054.83 000664.79 000272.77 000937.55
12/03/2020 052.00 000665.00 000231.27 000896.26
13/03/2020 049.44 000664.42 000196.09 000860.50
14/03/2020 047.11 000663.19 000166.25 000829.44
15/03/2020 045.26 000661.41 000140.96 000802.37
16/03/2020 043.73 000659.23 000119.77 000779.01
17/03/2020 042.33 000656.74 000101.89 000758.63
18/03/2020 040.68 000653.99 000086.38 000740.38
19/03/2020 039.13 000650.94 000073.24 000724.18
20/03/2020 038.15 000647.64 000063.04 000710.68
21/03/2020 039.13 000644.19 000075.57 000719.76
22/03/2020 038.67 000640.93 000071.07 000712.00
23/03/2020 037.88 000637.62 000062.36 000699.98
24/03/2020 039.01 000634.20 000076.77 000710.97
