Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 061.08 000128.50 000175.49 000303.99
24/02/2020 060.90 000130.83 000155.97 000286.80
25/02/2020 060.09 000133.09 000135.14 000268.24
26/02/2020 062.81 000135.14 000156.82 000291.95
27/02/2020 064.16 000137.85 000161.94 000299.80
28/02/2020 061.82 000140.91 000134.45 000275.36
29/02/2020 064.20 000143.32 000156.81 000300.13
01/03/2020 062.28 000146.34 000132.57 000278.91
02/03/2020 065.44 000148.82 000169.92 000318.74
03/03/2020 068.73 000152.13 000221.50 000373.63
04/03/2020 071.64 000156.37 000278.23 000434.60
05/03/2020 073.32 000161.47 000313.41 000474.88
06/03/2020 073.80 000167.08 000321.91 000488.99
07/03/2020 074.12 000172.79 000328.54 000501.33
08/03/2020 074.88 000178.56 000349.13 000527.69
09/03/2020 075.71 000184.54 000376.10 000560.64
10/03/2020 073.58 000190.75 000331.67 000522.41
11/03/2020 068.53 000196.18 000268.83 000465.01
12/03/2020 064.15 000199.97 000217.90 000417.87
13/03/2020 060.49 000202.48 000176.62 000379.10
14/03/2020 057.41 000204.02 000143.16 000347.18
15/03/2020 054.77 000204.81 000116.04 000320.84
16/03/2020 052.49 000205.01 000094.05 000299.06
17/03/2020 050.52 000204.75 000076.23 000280.98
18/03/2020 048.78 000204.11 000061.79 000265.90
19/03/2020 047.28 000203.16 000050.09 000253.25
20/03/2020 049.67 000201.98 000057.20 000259.17
21/03/2020 049.74 000201.21 000050.88 000252.08
22/03/2020 050.19 000200.46 000047.52 000247.98
23/03/2020 051.00 000199.80 000046.91 000246.71
24/03/2020 056.04 000199.29 000092.46 000291.75
