Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 034.07 000297.53 000531.81 000829.34
24/02/2020 036.90 000300.84 000570.12 000870.96
25/02/2020 039.44 000307.95 000640.66 000948.61
26/02/2020 040.78 000318.89 000707.44 001026.33
27/02/2020 040.17 000332.01 000719.42 001051.43
28/02/2020 046.51 000344.05 000883.69 001227.74
29/02/2020 050.01 000367.85 000990.01 001357.87
01/03/2020 040.27 000399.21 001110.15 001509.36
02/03/2020 041.68 000411.13 001139.63 001550.76
03/03/2020 041.93 000425.41 001149.34 001574.75
04/03/2020 035.87 000440.06 001001.32 001441.39
05/03/2020 032.77 000445.13 000873.39 001318.52
06/03/2020 031.23 000446.23 000765.30 001211.53
07/03/2020 029.91 000445.61 000669.63 001115.25
08/03/2020 028.96 000443.74 000586.98 001030.72
09/03/2020 028.08 000441.86 000515.49 000957.36
10/03/2020 027.16 000440.00 000453.58 000893.58
11/03/2020 026.17 000438.14 000399.89 000838.04
12/03/2020 025.19 000436.30 000353.27 000789.57
13/03/2020 024.24 000434.46 000312.73 000747.18
14/03/2020 023.56 000432.62 000277.52 000710.14
15/03/2020 022.89 000430.80 000246.76 000677.56
16/03/2020 022.14 000428.98 000219.81 000648.80
17/03/2020 021.36 000427.17 000196.22 000623.39
18/03/2020 020.57 000425.37 000175.53 000600.90
19/03/2020 019.82 000423.58 000157.34 000580.92
20/03/2020 020.99 000421.79 000168.94 000590.73
21/03/2020 024.50 000420.01 000220.29 000640.30
22/03/2020 032.09 000418.24 000397.73 000815.97
23/03/2020 038.80 000418.69 000565.52 000984.21
24/03/2020 035.79 000428.16 000511.22 000939.38
