Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 075.78 000078.30 000072.79 000151.09
24/02/2020 076.46 000078.10 000074.00 000152.10
25/02/2020 076.36 000077.90 000062.65 000140.54
26/02/2020 078.59 000077.69 000113.32 000191.01
27/02/2020 078.70 000080.36 000132.13 000212.49
28/02/2020 077.54 000083.19 000118.01 000201.19
29/02/2020 076.56 000084.38 000098.94 000183.33
01/03/2020 076.21 000084.24 000081.14 000165.38
02/03/2020 075.55 000084.02 000065.31 000149.33
03/03/2020 074.78 000083.80 000052.69 000136.49
04/03/2020 074.01 000083.59 000042.61 000126.20
05/03/2020 073.24 000083.37 000034.56 000117.93
06/03/2020 072.49 000083.15 000028.12 000111.27
07/03/2020 071.74 000082.94 000022.96 000105.90
08/03/2020 071.00 000082.72 000018.83 000101.55
09/03/2020 070.27 000082.51 000015.50 000098.01
10/03/2020 069.54 000082.29 000012.83 000095.12
11/03/2020 068.82 000082.08 000010.67 000092.75
12/03/2020 068.11 000081.87 000008.92 000090.79
13/03/2020 067.41 000081.66 000007.51 000089.16
14/03/2020 066.72 000081.44 000006.35 000087.80
15/03/2020 066.03 000081.23 000005.41 000086.65
16/03/2020 065.97 000081.02 000006.87 000087.90
17/03/2020 066.40 000080.81 000012.62 000093.43
18/03/2020 066.77 000080.60 000016.51 000097.12
19/03/2020 067.66 000080.39 000026.76 000107.15
20/03/2020 068.85 000080.19 000040.62 000120.80
21/03/2020 069.71 000079.98 000046.17 000126.15
22/03/2020 070.35 000079.77 000047.50 000127.27
23/03/2020 070.56 000079.56 000043.16 000122.72
24/03/2020 070.23 000079.36 000035.01 000114.37
