Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 043.46 000139.54 000180.73 000320.26
24/02/2020 043.80 000138.93 000151.78 000290.70
25/02/2020 042.73 000138.38 000105.87 000244.24
26/02/2020 042.96 000137.66 000096.98 000234.64
27/02/2020 045.55 000136.99 000148.53 000285.51
28/02/2020 047.58 000136.74 000174.89 000311.64
29/02/2020 048.61 000136.88 000170.37 000307.25
01/03/2020 046.92 000137.21 000118.30 000255.50
02/03/2020 045.33 000137.21 000082.14 000219.35
03/03/2020 044.04 000136.93 000057.03 000193.96
04/03/2020 042.89 000136.43 000039.60 000176.03
05/03/2020 041.83 000135.75 000027.50 000163.26
06/03/2020 040.67 000134.92 000019.09 000154.01
07/03/2020 039.45 000134.04 000013.26 000147.30
08/03/2020 038.39 000133.17 000009.21 000142.37
09/03/2020 037.43 000132.30 000006.39 000138.69
10/03/2020 036.51 000131.44 000004.44 000135.87
11/03/2020 035.45 000130.58 000003.08 000133.66
12/03/2020 034.37 000129.73 000002.14 000131.87
13/03/2020 033.34 000128.88 000001.49 000130.37
14/03/2020 032.33 000128.04 000001.03 000129.07
15/03/2020 031.35 000127.21 000000.72 000127.92
16/03/2020 030.60 000126.38 000000.50 000126.88
17/03/2020 030.57 000125.55 000011.71 000137.27
18/03/2020 032.55 000124.74 000051.89 000176.62
19/03/2020 033.73 000123.92 000065.65 000189.57
20/03/2020 034.15 000123.12 000064.00 000187.11
21/03/2020 035.74 000122.31 000082.33 000204.65
22/03/2020 037.72 000121.52 000104.85 000226.36
23/03/2020 037.70 000120.72 000086.09 000206.81
24/03/2020 036.60 000119.94 000059.77 000179.71
