Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 058.01 000044.65 000065.78 000110.43
24/02/2020 059.47 000044.47 000064.15 000108.62
25/02/2020 059.20 000044.29 000046.54 000090.83
26/02/2020 059.93 000044.11 000043.24 000087.35
27/02/2020 061.03 000043.94 000045.26 000089.19
28/02/2020 061.87 000043.76 000044.16 000087.92
29/02/2020 063.66 000043.59 000056.76 000100.35
01/03/2020 062.95 000043.41 000039.25 000082.66
02/03/2020 061.92 000043.24 000026.71 000069.94
03/03/2020 060.73 000043.06 000018.17 000061.23
04/03/2020 059.54 000042.89 000012.36 000055.26
05/03/2020 058.38 000042.72 000008.41 000051.13
06/03/2020 057.25 000042.55 000005.72 000048.27
07/03/2020 056.13 000042.38 000003.89 000046.27
08/03/2020 055.04 000042.21 000002.65 000044.86
09/03/2020 053.97 000042.04 000001.80 000043.84
10/03/2020 052.92 000041.87 000001.23 000043.10
11/03/2020 051.90 000041.71 000000.83 000042.54
12/03/2020 050.90 000041.54 000000.57 000042.11
13/03/2020 049.91 000041.37 000000.39 000041.76
14/03/2020 048.94 000041.21 000000.26 000041.47
15/03/2020 047.99 000041.04 000000.18 000041.22
16/03/2020 047.05 000040.88 000000.12 000041.00
17/03/2020 046.31 000040.72 000000.08 000040.80
18/03/2020 045.61 000040.55 000000.06 000040.61
19/03/2020 044.92 000040.39 000000.04 000040.43
20/03/2020 044.64 000040.23 000001.05 000041.28
21/03/2020 045.55 000040.07 000009.02 000049.09
22/03/2020 046.86 000039.91 000017.81 000057.72
23/03/2020 046.83 000039.75 000015.08 000054.83
24/03/2020 045.97 000039.59 000010.26 000049.85
