Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 045.81 000084.54 000148.33 000232.87
24/02/2020 047.79 000085.70 000146.23 000231.93
25/02/2020 048.43 000087.17 000131.59 000218.76
26/02/2020 048.19 000088.73 000112.84 000201.57
27/02/2020 046.82 000090.24 000089.65 000179.89
28/02/2020 047.43 000091.51 000087.08 000178.59
29/02/2020 049.29 000092.87 000101.17 000194.04
01/03/2020 050.33 000094.53 000104.30 000198.84
02/03/2020 048.55 000096.36 000080.53 000176.90
03/03/2020 046.16 000097.87 000061.03 000158.90
04/03/2020 044.09 000098.98 000046.25 000145.24
05/03/2020 042.96 000099.77 000036.78 000136.55
06/03/2020 041.25 000100.39 000027.88 000128.27
07/03/2020 039.57 000100.78 000021.13 000121.90
08/03/2020 037.97 000100.94 000016.01 000116.95
09/03/2020 036.51 000100.92 000012.13 000113.05
10/03/2020 035.28 000100.73 000009.20 000109.93
11/03/2020 034.15 000100.41 000006.97 000107.38
12/03/2020 033.15 000099.99 000005.28 000105.27
13/03/2020 032.26 000099.48 000004.00 000103.48
14/03/2020 031.28 000098.89 000003.03 000101.92
15/03/2020 030.37 000098.22 000002.30 000100.52
16/03/2020 029.50 000097.49 000001.74 000099.23
17/03/2020 028.68 000096.73 000001.32 000098.05
18/03/2020 028.16 000095.98 000001.03 000097.01
19/03/2020 029.59 000095.24 000011.04 000106.28
20/03/2020 031.42 000094.50 000021.53 000116.03
21/03/2020 037.92 000093.88 000089.43 000183.31
22/03/2020 044.11 000093.90 000150.37 000244.27
23/03/2020 049.19 000094.73 000191.52 000286.25
24/03/2020 055.05 000096.36 000264.09 000360.45
