Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 047.96 000039.25 000036.80 000076.05
24/02/2020 046.83 000038.98 000033.67 000072.66
25/02/2020 045.72 000038.67 000030.81 000069.48
26/02/2020 050.47 000038.32 000053.88 000092.21
27/02/2020 054.38 000038.18 000071.09 000109.27
28/02/2020 053.31 000038.22 000065.05 000103.27
29/02/2020 052.00 000038.20 000059.52 000097.72
01/03/2020 050.71 000038.13 000054.46 000092.58
02/03/2020 049.60 000037.99 000049.83 000087.82
03/03/2020 048.72 000037.81 000045.59 000083.40
04/03/2020 047.98 000037.59 000041.74 000079.33
05/03/2020 047.09 000037.34 000038.19 000075.53
06/03/2020 046.12 000037.06 000034.94 000072.00
07/03/2020 045.11 000036.75 000031.97 000068.72
08/03/2020 044.29 000036.40 000029.25 000065.65
09/03/2020 043.59 000036.03 000026.77 000062.79
10/03/2020 042.81 000035.63 000024.49 000060.12
11/03/2020 041.92 000035.22 000022.41 000057.63
12/03/2020 041.02 000034.82 000020.50 000055.32
13/03/2020 040.14 000034.42 000018.76 000053.18
14/03/2020 039.28 000034.02 000017.16 000051.19
15/03/2020 038.44 000033.63 000015.70 000049.34
16/03/2020 037.62 000033.25 000014.37 000047.61
17/03/2020 038.97 000032.86 000017.37 000050.24
18/03/2020 038.71 000032.49 000016.30 000048.79
19/03/2020 040.52 000032.11 000020.73 000052.84
20/03/2020 043.16 000031.74 000028.31 000060.05
21/03/2020 042.75 000031.39 000026.13 000057.52
22/03/2020 042.01 000031.02 000023.91 000054.93
23/03/2020 041.13 000030.67 000021.88 000052.55
24/03/2020 040.25 000030.32 000020.02 000050.33
