Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 043.57 000162.74 000002.45 000165.19
24/02/2020 042.87 000162.77 000001.40 000164.17
25/02/2020 042.18 000162.77 000000.79 000163.56
26/02/2020 041.67 000162.74 000001.72 000164.46
27/02/2020 043.86 000162.69 000068.16 000230.85
28/02/2020 047.26 000162.74 000167.24 000329.98
29/02/2020 048.56 000162.95 000130.44 000293.39
01/03/2020 047.85 000163.24 000067.17 000230.40
02/03/2020 047.05 000163.48 000034.03 000197.51
03/03/2020 046.29 000163.68 000017.51 000181.20
04/03/2020 046.93 000163.85 000033.30 000197.15
05/03/2020 047.32 000164.04 000036.37 000200.41
06/03/2020 046.58 000164.26 000018.92 000183.18
07/03/2020 045.83 000164.44 000009.85 000174.29
08/03/2020 044.86 000164.57 000004.93 000169.50
09/03/2020 043.96 000164.66 000002.46 000167.12
10/03/2020 043.08 000164.71 000001.23 000165.94
11/03/2020 042.22 000164.71 000000.62 000165.33
12/03/2020 041.39 000164.68 000000.31 000164.98
13/03/2020 040.59 000164.61 000000.15 000164.76
14/03/2020 039.81 000164.50 000000.08 000164.58
15/03/2020 039.07 000164.36 000000.04 000164.40
16/03/2020 038.37 000164.20 000000.02 000164.22
17/03/2020 037.78 000164.01 000000.01 000164.02
18/03/2020 037.34 000163.79 000000.44 000164.23
19/03/2020 037.38 000163.56 000007.56 000171.12
20/03/2020 037.61 000163.34 000013.55 000176.89
21/03/2020 038.30 000163.12 000024.21 000187.33
22/03/2020 038.62 000162.93 000023.73 000186.66
23/03/2020 038.11 000162.75 000012.04 000174.79
24/03/2020 037.56 000162.55 000006.02 000168.57
