                      JURUMIRIM               PIRAJU            CHAVANTES      SALTO GRANDE CS            CANOAS II             CANOAS I                 MAUA             CAPIVARA            TAQUARUÇU               ROSANA             OURINHOS
                            047                  048                  049                  050                  051                  052                  057                  061                  062                  063                  249
                          TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
24/03/2020               360.45                 2.29                47.56                88.98                 6.98                14.87                50.38               179.71                50.51               118.43                 3.55
25/03/2020               302.20                 2.15                44.53                83.32                 6.53                13.92                48.36               160.71                49.55               116.16                 3.32
26/03/2020               255.38                 2.05                42.42                78.80                 6.18                13.17                46.48               147.28                49.02               114.94                 3.14
27/03/2020               219.89                 1.97                40.94                75.15                 5.89                12.56                44.74               137.73                48.72               114.22                 2.99
28/03/2020               192.95                 1.92                39.88                72.22                 5.66                12.07                43.12               130.86                48.52               113.76                 2.88
29/03/2020               172.47                 1.89                39.11                69.86                 5.48                11.67                41.88               125.87                48.39               113.44                 2.78
30/03/2020               156.85                 1.86                38.67                68.82                 5.40                11.50                42.47               123.86                52.80               123.80                 2.74
31/03/2020               145.09                 2.04                42.27                70.49                 5.53                11.78                41.53               129.40                67.27               157.72                 2.81
01/04/2020               137.45                 2.25                46.77                70.60                 5.54                11.80                40.32               138.43                67.60               158.48                 2.81
02/04/2020               133.96                 2.19                45.43                70.08                 5.49                11.71                39.25               136.72                60.39               141.57                 2.79
03/04/2020               137.38                 2.11                43.69                70.58                 5.53                11.79                38.72               132.78                55.89               131.02                 2.81
04/04/2020               136.69                 2.07                42.88                69.79                 5.47                11.66                37.82               128.77                52.53               123.17                 2.78
