Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 058.82 000036.89 000016.87 000053.76
24/02/2020 058.15 000037.41 000015.52 000052.94
25/02/2020 058.18 000037.87 000015.50 000053.37
26/02/2020 058.27 000038.32 000015.67 000053.99
27/02/2020 058.45 000038.78 000016.03 000054.81
28/02/2020 057.96 000039.25 000015.01 000054.26
29/02/2020 058.04 000039.68 000015.15 000054.83
01/03/2020 057.78 000040.10 000014.57 000054.68
02/03/2020 057.81 000040.50 000014.46 000054.96
03/03/2020 057.86 000040.91 000014.41 000055.31
04/03/2020 058.48 000041.31 000015.74 000057.04
05/03/2020 059.38 000041.77 000017.97 000059.74
06/03/2020 065.83 000042.32 000060.08 000102.40
07/03/2020 066.83 000043.57 000061.99 000105.56
08/03/2020 068.79 000044.94 000071.76 000116.71
09/03/2020 067.18 000046.55 000063.39 000109.94
10/03/2020 065.39 000047.95 000055.09 000103.04
11/03/2020 062.90 000049.12 000046.45 000095.57
12/03/2020 061.30 000049.99 000039.85 000089.84
13/03/2020 058.93 000050.69 000033.51 000084.20
14/03/2020 056.93 000051.13 000028.18 000079.31
15/03/2020 055.22 000051.38 000023.70 000075.07
16/03/2020 053.74 000051.47 000019.93 000071.39
17/03/2020 052.46 000051.43 000016.76 000068.18
18/03/2020 051.34 000051.28 000014.09 000065.37
19/03/2020 050.36 000051.05 000011.85 000062.90
20/03/2020 052.57 000050.74 000014.94 000065.68
21/03/2020 052.17 000050.61 000012.96 000063.57
22/03/2020 052.20 000050.45 000011.83 000062.28
23/03/2020 052.98 000050.29 000012.06 000062.34
24/03/2020 059.77 000050.19 000043.56 000093.76
