Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 062.00 000075.08 000149.40 000224.48
24/02/2020 059.34 000076.38 000118.58 000194.95
25/02/2020 060.30 000077.19 000113.84 000191.03
26/02/2020 062.42 000078.16 000126.38 000204.55
27/02/2020 060.85 000079.51 000103.81 000183.32
28/02/2020 062.58 000080.57 000114.34 000194.91
29/02/2020 065.72 000081.93 000152.58 000234.51
01/03/2020 067.87 000083.89 000176.95 000260.84
02/03/2020 072.04 000086.28 000244.73 000331.01
03/03/2020 076.59 000089.58 000361.90 000451.48
04/03/2020 079.50 000093.98 000452.27 000546.25
05/03/2020 080.54 000099.10 000482.69 000581.79
06/03/2020 078.70 000104.48 000419.89 000524.36
07/03/2020 075.39 000109.31 000341.06 000450.37
08/03/2020 072.03 000113.26 000273.20 000386.46
09/03/2020 068.58 000116.36 000216.98 000333.34
10/03/2020 065.47 000118.67 000172.22 000290.88
11/03/2020 062.74 000120.31 000136.69 000257.00
12/03/2020 060.16 000121.41 000108.49 000229.90
13/03/2020 058.26 000122.03 000086.11 000208.14
14/03/2020 056.48 000122.33 000068.35 000190.67
15/03/2020 054.90 000122.34 000054.25 000176.58
16/03/2020 053.49 000122.10 000043.05 000165.16
17/03/2020 052.15 000121.67 000034.17 000155.84
18/03/2020 050.86 000121.06 000027.12 000148.18
19/03/2020 049.88 000120.28 000021.53 000141.80
20/03/2020 049.97 000119.39 000019.49 000138.88
21/03/2020 056.16 000118.51 000076.66 000195.17
22/03/2020 062.19 000118.50 000141.12 000259.62
23/03/2020 066.20 000119.51 000176.25 000295.76
24/03/2020 069.39 000121.29 000206.07 000327.36
