Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 038.81 000104.54 000214.06 000318.60
24/02/2020 036.87 000104.90 000186.35 000291.25
25/02/2020 035.03 000104.95 000162.23 000267.18
26/02/2020 034.57 000104.75 000151.95 000256.69
27/02/2020 032.92 000104.48 000132.28 000236.75
28/02/2020 032.26 000104.00 000120.55 000224.54
29/02/2020 042.40 000103.44 000338.45 000441.89
01/03/2020 044.38 000104.44 000346.57 000451.01
02/03/2020 050.67 000105.82 000456.24 000562.07
03/03/2020 059.85 000108.60 000732.73 000841.33
04/03/2020 066.10 000113.89 000932.84 001046.73
05/03/2020 064.07 000121.20 000845.16 000966.36
06/03/2020 066.76 000127.76 000898.20 001025.96
07/03/2020 070.42 000135.19 001029.70 001164.89
08/03/2020 066.88 000143.92 000911.73 001055.65
09/03/2020 069.11 000151.27 000965.29 001116.56
10/03/2020 064.83 000159.38 000843.89 001003.27
11/03/2020 061.11 000165.90 000738.02 000903.92
12/03/2020 057.93 000171.14 000646.37 000817.51
13/03/2020 055.12 000175.37 000566.55 000741.91
14/03/2020 051.96 000178.76 000493.47 000672.23
15/03/2020 049.04 000181.29 000429.69 000610.98
16/03/2020 046.27 000183.09 000374.07 000557.16
17/03/2020 043.72 000184.26 000325.64 000509.90
18/03/2020 041.38 000184.89 000283.49 000468.38
19/03/2020 039.38 000185.07 000246.80 000431.86
20/03/2020 037.57 000184.90 000214.86 000399.76
21/03/2020 035.94 000184.44 000187.08 000371.52
22/03/2020 039.43 000183.74 000223.26 000407.00
23/03/2020 044.64 000183.60 000298.26 000481.85
24/03/2020 051.78 000184.41 000445.02 000629.43
