Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 045.09 000251.08 000894.73 001145.81
24/02/2020 043.24 000249.27 000755.01 001004.28
25/02/2020 043.13 000247.48 000742.00 000989.48
26/02/2020 045.03 000245.70 000867.02 001112.72
27/02/2020 050.36 000243.93 001349.20 001593.13
28/02/2020 053.30 000244.40 001542.60 001787.00
29/02/2020 051.54 000264.08 001447.04 001711.12
01/03/2020 052.61 000271.87 001505.43 001777.31
02/03/2020 059.27 000286.66 002471.84 002758.50
03/03/2020 059.56 000351.53 003005.86 003357.39
04/03/2020 060.58 000418.31 003676.77 004095.08
05/03/2020 057.15 000493.32 003558.54 004051.85
06/03/2020 056.98 000539.52 003541.03 004080.55
07/03/2020 058.89 000584.07 003860.52 004444.59
08/03/2020 059.78 000643.60 004235.33 004878.93
09/03/2020 058.22 000710.14 004216.83 004926.97
10/03/2020 053.41 000763.30 003686.76 004450.06
11/03/2020 049.47 000779.98 003101.58 003881.56
12/03/2020 047.71 000774.37 002612.61 003386.98
13/03/2020 046.75 000768.80 002229.66 002998.46
14/03/2020 044.73 000763.27 001875.01 002638.28
15/03/2020 042.68 000757.77 001576.69 002334.47
16/03/2020 040.54 000752.32 001325.83 002078.16
17/03/2020 038.56 000746.91 001114.89 001861.80
18/03/2020 036.65 000741.54 000937.51 001679.04
19/03/2020 035.11 000736.20 000788.64 001524.84
20/03/2020 034.13 000730.91 000675.06 001405.97
21/03/2020 033.43 000725.65 000592.70 001318.35
22/03/2020 038.29 000720.43 000907.47 001627.89
23/03/2020 043.18 000715.24 001213.08 001928.32
24/03/2020 049.31 000710.10 001673.36 002383.46
