Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 035.44 000768.85 000686.06 001454.91
24/02/2020 032.98 000767.37 000634.64 001402.01
25/02/2020 036.74 000763.53 000663.41 001426.94
26/02/2020 036.93 000763.47 000661.63 001425.10
27/02/2020 036.93 000763.61 000658.87 001422.48
28/02/2020 038.09 000763.77 000674.46 001438.23
29/02/2020 041.07 000765.22 000736.47 001501.69
01/03/2020 044.90 000770.35 000863.15 001633.50
02/03/2020 043.41 000780.81 000883.37 001664.18
03/03/2020 048.32 000789.01 001054.53 001843.54
04/03/2020 046.42 000804.75 001109.79 001914.53
05/03/2020 046.58 000817.27 001174.45 001991.72
06/03/2020 045.74 000829.93 001207.24 002037.17
07/03/2020 048.84 000841.19 001343.03 002184.22
08/03/2020 042.15 000857.37 001267.85 002125.21
09/03/2020 038.50 000863.17 001177.27 002040.44
10/03/2020 034.90 000864.29 001071.16 001935.46
11/03/2020 030.87 000861.49 000954.34 001815.83
12/03/2020 028.09 000855.08 000850.22 001705.31
13/03/2020 026.28 000848.06 000757.58 001605.64
14/03/2020 025.21 000841.09 000678.81 001519.90
15/03/2020 023.69 000834.18 000605.11 001439.29
16/03/2020 022.24 000827.32 000539.41 001366.73
17/03/2020 020.47 000820.52 000480.56 001301.08
18/03/2020 018.79 000813.78 000428.13 001241.91
19/03/2020 017.26 000807.09 000381.42 001188.51
20/03/2020 016.66 000800.46 000344.82 001145.28
21/03/2020 015.94 000793.88 000310.01 001103.89
22/03/2020 018.35 000787.36 000315.25 001102.60
23/03/2020 021.87 000780.89 000332.05 001112.93
24/03/2020 021.82 000774.47 000316.87 001091.34
