                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
24/03/2020               327.36              1091.25                93.76
25/03/2020               341.99              1059.41                91.59
26/03/2020               308.23              1023.93                88.18
27/03/2020               273.03               989.00                85.14
28/03/2020               244.83               957.25                81.91
29/03/2020               222.18               928.34                77.68
30/03/2020               203.94               901.96                74.02
31/03/2020               189.20               877.84                70.83
01/04/2020               177.24               855.80                68.05
02/04/2020               167.50               836.39                65.61
03/04/2020               159.72               819.67                63.53
04/04/2020               153.64               804.48                61.71
