Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 061.14 000273.03 000284.53 000557.56
24/02/2020 059.46 000274.36 000223.52 000497.88
25/02/2020 057.55 000275.46 000170.17 000445.63
26/02/2020 059.48 000276.32 000254.74 000531.06
27/02/2020 063.24 000277.42 000440.35 000717.77
28/02/2020 066.84 000279.02 000614.96 000893.97
29/02/2020 067.36 000281.13 000567.86 000848.99
01/03/2020 064.86 000283.32 000416.30 000699.62
02/03/2020 064.17 000285.12 000349.87 000634.99
03/03/2020 061.25 000286.82 000245.79 000532.61
04/03/2020 057.71 000288.10 000170.66 000458.76
05/03/2020 054.51 000288.93 000118.49 000407.42
06/03/2020 051.60 000289.37 000082.27 000371.64
07/03/2020 048.95 000289.49 000057.12 000346.61
08/03/2020 046.59 000289.34 000039.66 000329.00
09/03/2020 044.46 000288.97 000027.54 000316.51
10/03/2020 043.25 000288.42 000021.73 000310.15
11/03/2020 042.11 000287.77 000017.63 000305.40
12/03/2020 040.41 000287.04 000012.24 000299.28
13/03/2020 038.77 000286.19 000008.50 000294.68
14/03/2020 037.26 000285.22 000005.90 000291.12
15/03/2020 035.84 000284.17 000004.10 000288.26
16/03/2020 034.78 000283.03 000002.86 000285.90
17/03/2020 033.95 000281.84 000002.67 000284.51
18/03/2020 034.02 000280.61 000019.34 000299.95
19/03/2020 034.46 000279.39 000035.84 000315.23
20/03/2020 037.10 000278.20 000089.44 000367.65
21/03/2020 039.54 000277.17 000126.56 000403.73
22/03/2020 041.97 000276.30 000157.46 000433.75
23/03/2020 043.48 000275.60 000160.98 000436.59
24/03/2020 042.13 000275.03 000112.63 000387.66
