Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 049.63 000080.25 000089.21 000169.46
24/02/2020 038.00 000081.41 000056.17 000137.58
25/02/2020 057.05 000081.35 000270.48 000351.82
26/02/2020 059.00 000083.54 000456.85 000540.39
27/02/2020 054.99 000086.01 000454.46 000540.47
28/02/2020 037.73 000087.85 000277.03 000364.89
29/02/2020 046.47 000087.72 000241.69 000329.40
01/03/2020 037.99 000088.44 000152.22 000240.66
02/03/2020 040.54 000088.32 000116.22 000204.54
03/03/2020 058.34 000088.43 000298.41 000386.84
04/03/2020 038.30 000090.76 000181.88 000272.65
05/03/2020 033.00 000090.65 000110.86 000201.51
06/03/2020 030.18 000090.14 000067.57 000157.72
07/03/2020 028.31 000089.47 000041.19 000130.66
08/03/2020 026.23 000088.79 000025.10 000113.89
09/03/2020 031.39 000088.12 000032.81 000120.93
10/03/2020 028.54 000087.53 000020.00 000107.53
11/03/2020 026.34 000086.86 000012.19 000099.05
12/03/2020 024.31 000086.20 000007.43 000093.63
13/03/2020 022.47 000085.55 000004.53 000090.08
14/03/2020 020.67 000084.90 000002.76 000087.66
15/03/2020 019.03 000084.26 000001.68 000085.94
16/03/2020 018.14 000083.62 000001.15 000084.77
17/03/2020 035.51 000082.98 000085.27 000168.25
18/03/2020 030.84 000082.71 000051.97 000134.68
19/03/2020 033.97 000082.13 000044.51 000126.64
20/03/2020 030.31 000081.75 000027.13 000108.88
21/03/2020 028.76 000081.14 000016.64 000097.79
22/03/2020 026.79 000080.53 000010.14 000090.67
23/03/2020 025.07 000079.92 000006.18 000086.10
24/03/2020 023.49 000079.31 000003.77 000083.08
