Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 032.12 000201.26 000061.47 000262.73
24/02/2020 033.42 000200.91 000064.01 000264.92
25/02/2020 034.51 000201.13 000071.70 000272.83
26/02/2020 035.62 000201.84 000085.96 000287.80
27/02/2020 036.42 000203.08 000094.67 000297.76
28/02/2020 036.73 000204.73 000093.58 000298.31
29/02/2020 035.85 000206.52 000066.73 000273.26
01/03/2020 034.74 000207.86 000047.31 000255.17
02/03/2020 033.52 000208.64 000029.24 000237.87
03/03/2020 031.77 000208.85 000007.98 000216.83
04/03/2020 030.34 000208.32 000001.99 000210.31
05/03/2020 029.47 000207.24 000000.50 000207.73
06/03/2020 028.72 000206.03 000000.12 000206.16
07/03/2020 027.97 000204.84 000000.03 000204.87
08/03/2020 027.18 000203.65 000000.01 000203.65
09/03/2020 026.58 000202.46 000000.00 000202.47
10/03/2020 026.03 000201.29 000000.04 000201.33
11/03/2020 025.46 000200.12 000000.01 000200.13
12/03/2020 024.89 000198.96 000000.00 000198.96
13/03/2020 024.32 000197.80 000000.00 000197.80
14/03/2020 023.79 000196.65 000000.00 000196.66
15/03/2020 023.18 000195.51 000000.00 000195.51
16/03/2020 022.67 000194.37 000000.00 000194.37
17/03/2020 022.18 000193.25 000000.01 000193.26
18/03/2020 021.69 000192.12 000000.00 000192.13
19/03/2020 021.24 000191.01 000000.03 000191.04
20/03/2020 020.97 000189.90 000001.79 000191.69
21/03/2020 020.91 000188.79 000008.21 000197.00
22/03/2020 020.77 000187.70 000006.83 000194.52
23/03/2020 020.72 000186.61 000009.48 000196.09
24/03/2020 020.36 000185.52 000002.84 000188.36
