Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 034.99 000108.54 000005.12 000113.66
24/02/2020 034.90 000108.28 000007.29 000115.57
25/02/2020 034.88 000108.03 000010.45 000118.47
26/02/2020 036.60 000107.77 000038.94 000146.71
27/02/2020 038.06 000107.53 000055.72 000163.26
28/02/2020 038.63 000107.31 000053.44 000160.75
29/02/2020 038.12 000107.10 000039.53 000146.63
01/03/2020 037.59 000106.88 000029.25 000136.13
02/03/2020 037.11 000106.65 000021.64 000128.29
03/03/2020 036.62 000106.42 000016.01 000122.43
04/03/2020 036.14 000106.19 000011.84 000118.03
05/03/2020 035.65 000105.95 000008.76 000114.71
06/03/2020 035.16 000105.71 000006.48 000112.19
07/03/2020 034.69 000105.46 000004.80 000110.25
08/03/2020 034.22 000105.21 000003.55 000108.76
09/03/2020 033.75 000104.95 000002.62 000107.58
10/03/2020 033.30 000104.69 000001.94 000106.63
11/03/2020 032.95 000104.43 000001.45 000105.88
12/03/2020 032.64 000104.17 000001.15 000105.32
13/03/2020 032.21 000103.90 000000.85 000104.75
14/03/2020 031.82 000103.63 000000.63 000104.26
15/03/2020 031.57 000103.36 000000.77 000104.12
16/03/2020 031.37 000103.08 000001.30 000104.39
17/03/2020 031.16 000102.81 000001.48 000104.29
18/03/2020 030.97 000102.53 000001.90 000104.44
19/03/2020 030.89 000102.26 000003.55 000105.81
20/03/2020 030.76 000101.98 000004.11 000106.09
21/03/2020 030.57 000101.70 000003.69 000105.40
22/03/2020 030.17 000101.43 000002.73 000104.16
23/03/2020 029.78 000101.15 000002.02 000103.17
24/03/2020 029.39 000100.87 000001.50 000102.36
