                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
24/03/2020                 9.97                15.20                 6.06                51.84               387.66                64.42               123.94                73.38                28.97
25/03/2020                 9.72                14.82                 5.91                50.54               352.42                63.10               121.40                72.90                28.78
26/03/2020                 9.54                14.55                 5.80                49.61               327.63                62.47               120.19                72.50                28.61
27/03/2020                 9.40                14.34                 5.72                48.90               310.05                62.04               119.37                72.14                28.48
28/03/2020                 9.29                14.17                 5.65                48.33               297.47                61.67               118.64                71.83                28.35
29/03/2020                 9.20                14.03                 5.60                47.84               288.35                61.30               117.95                72.27                28.53
30/03/2020                10.98                16.74                 6.68                57.09               281.74                61.17               117.69                76.43                30.16
31/03/2020                17.19                26.21                10.46                89.38               281.47                61.35               118.04                78.15                30.85
01/04/2020                16.17                24.66                 9.84                84.09               293.06                61.82               118.95                77.31                30.51
02/04/2020                21.01                32.04                12.78               109.26               302.08                62.13               119.55                76.30                30.11
03/04/2020                26.15                39.88                15.91               135.99               307.73                61.97               119.24                75.08                29.63
04/04/2020                21.83                33.29                13.28               113.50               307.82                61.01               117.39                74.01                29.21
