Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 030.46 000753.55 000459.14 001212.69
24/02/2020 031.14 000745.56 000404.16 001149.72
25/02/2020 035.94 000737.83 000583.59 001321.42
26/02/2020 034.44 000744.15 000484.07 001228.22
27/02/2020 035.47 000745.63 000492.69 001238.32
28/02/2020 033.35 000750.35 000371.74 001122.10
29/02/2020 037.36 000748.55 000568.39 001316.94
01/03/2020 039.42 000759.62 000701.95 001461.57
02/03/2020 038.38 000778.17 000659.17 001437.34
03/03/2020 038.59 000792.61 000669.80 001462.41
04/03/2020 040.60 000807.69 000814.52 001622.21
05/03/2020 041.33 000830.42 000904.39 001734.81
06/03/2020 044.03 000855.93 001203.91 002059.85
07/03/2020 044.04 000893.02 001310.35 002203.38
08/03/2020 042.34 000929.73 001228.53 002158.27
09/03/2020 040.06 000958.46 001054.92 002013.38
10/03/2020 035.56 000977.43 000758.32 001735.75
11/03/2020 037.89 000979.98 000787.11 001767.09
12/03/2020 034.93 000990.49 000591.38 001581.87
13/03/2020 034.69 000990.89 000516.69 001507.58
14/03/2020 033.00 000990.52 000393.51 001384.03
15/03/2020 031.67 000985.18 000290.81 001275.99
16/03/2020 030.44 000976.25 000207.56 001183.81
17/03/2020 029.22 000965.90 000146.77 001112.66
18/03/2020 027.94 000955.65 000103.78 001059.43
19/03/2020 026.92 000945.51 000073.88 001019.39
20/03/2020 030.00 000935.49 000223.78 001159.26
21/03/2020 036.14 000925.56 000544.66 001470.22
22/03/2020 040.07 000930.57 000781.82 001712.38
23/03/2020 037.60 000949.87 000662.07 001611.94
24/03/2020 040.85 000959.66 000870.42 001830.08
