Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 034.55 000016.68 000006.95 000023.63
24/02/2020 033.30 000016.28 000005.27 000021.55
25/02/2020 033.55 000015.85 000009.96 000025.81
26/02/2020 034.50 000015.44 000016.69 000032.13
27/02/2020 042.15 000015.09 000091.46 000106.55
28/02/2020 041.77 000015.14 000072.75 000087.88
29/02/2020 040.50 000015.16 000055.13 000070.30
01/03/2020 039.18 000015.11 000041.78 000056.90
02/03/2020 037.92 000014.99 000031.67 000046.66
03/03/2020 036.71 000014.81 000024.00 000038.81
04/03/2020 035.55 000014.58 000018.19 000032.77
05/03/2020 035.20 000014.30 000014.95 000029.25
06/03/2020 034.11 000014.02 000011.33 000025.34
07/03/2020 033.05 000013.69 000008.59 000022.28
08/03/2020 032.02 000013.34 000006.51 000019.84
09/03/2020 031.05 000012.95 000004.93 000017.88
10/03/2020 030.12 000012.55 000003.74 000016.29
11/03/2020 029.21 000012.12 000002.83 000014.96
12/03/2020 028.32 000011.71 000002.15 000013.86
13/03/2020 027.44 000011.31 000001.63 000012.94
14/03/2020 026.59 000010.93 000001.23 000012.16
15/03/2020 025.77 000010.56 000000.93 000011.49
16/03/2020 024.99 000010.20 000000.71 000010.90
17/03/2020 024.31 000009.85 000000.54 000010.38
18/03/2020 024.16 000009.51 000001.80 000011.31
19/03/2020 023.51 000009.19 000001.36 000010.55
20/03/2020 023.13 000008.88 000001.22 000010.10
21/03/2020 022.51 000008.57 000000.93 000009.50
22/03/2020 021.84 000008.28 000000.70 000008.98
23/03/2020 021.27 000008.00 000000.53 000008.53
24/03/2020 020.62 000007.73 000000.40 000008.13
