Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 059.61 000021.86 000019.27 000041.14
24/02/2020 058.29 000021.57 000016.21 000037.77
25/02/2020 057.33 000021.18 000013.63 000034.81
26/02/2020 061.91 000020.74 000063.37 000084.10
27/02/2020 066.92 000020.65 000123.54 000144.19
28/02/2020 069.60 000021.02 000137.89 000158.91
29/02/2020 068.49 000021.65 000116.13 000137.77
01/03/2020 067.19 000022.15 000097.65 000119.80
02/03/2020 066.15 000022.51 000082.11 000104.62
03/03/2020 065.08 000022.76 000069.05 000091.81
04/03/2020 063.89 000022.91 000058.06 000080.98
05/03/2020 062.77 000022.95 000048.82 000071.78
06/03/2020 061.66 000022.90 000041.06 000063.95
07/03/2020 060.51 000022.74 000034.52 000057.27
08/03/2020 059.37 000022.50 000029.03 000051.53
09/03/2020 058.40 000022.17 000024.41 000046.59
10/03/2020 057.51 000021.78 000020.53 000042.31
11/03/2020 056.53 000021.33 000017.26 000038.59
12/03/2020 055.50 000020.88 000014.52 000035.40
13/03/2020 054.50 000020.45 000012.21 000032.66
14/03/2020 053.51 000020.02 000010.26 000030.29
15/03/2020 052.53 000019.61 000008.63 000028.24
16/03/2020 051.61 000019.20 000007.26 000026.46
17/03/2020 050.93 000018.80 000006.10 000024.91
18/03/2020 050.72 000018.41 000005.96 000024.37
19/03/2020 051.20 000018.03 000008.33 000026.36
20/03/2020 053.91 000017.65 000024.52 000042.18
21/03/2020 055.67 000017.29 000031.30 000048.59
22/03/2020 054.88 000016.93 000026.32 000043.25
23/03/2020 054.27 000016.58 000022.18 000038.75
24/03/2020 053.42 000016.23 000018.65 000034.88
