Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 016.40 000040.76 000038.21 000078.97
24/02/2020 016.06 000040.44 000031.82 000072.27
25/02/2020 021.88 000040.13 000045.20 000085.33
26/02/2020 036.12 000039.82 000127.16 000166.98
27/02/2020 044.45 000039.51 000158.16 000197.67
28/02/2020 043.32 000039.20 000123.11 000162.31
29/02/2020 041.92 000038.90 000102.08 000140.98
01/03/2020 040.54 000038.60 000084.64 000123.24
02/03/2020 039.47 000038.30 000070.18 000108.48
03/03/2020 038.59 000038.00 000058.19 000096.19
04/03/2020 037.96 000037.71 000048.37 000086.08
05/03/2020 036.90 000037.41 000040.11 000077.52
06/03/2020 035.88 000037.12 000033.26 000070.38
07/03/2020 034.88 000036.84 000027.57 000064.41
08/03/2020 033.92 000036.55 000022.86 000059.41
09/03/2020 033.00 000036.27 000018.96 000055.22
10/03/2020 032.07 000035.98 000015.72 000051.70
11/03/2020 031.17 000035.71 000013.03 000048.74
12/03/2020 030.30 000035.43 000010.81 000046.24
13/03/2020 029.45 000035.15 000008.96 000044.11
14/03/2020 028.63 000034.88 000007.43 000042.31
15/03/2020 027.82 000034.61 000006.16 000040.77
16/03/2020 027.04 000034.34 000005.11 000039.45
17/03/2020 026.31 000034.08 000004.24 000038.31
18/03/2020 026.26 000033.81 000004.63 000038.44
19/03/2020 027.71 000033.55 000007.50 000041.05
20/03/2020 029.63 000033.29 000010.99 000044.27
21/03/2020 028.92 000033.03 000009.11 000042.14
22/03/2020 028.14 000032.77 000007.55 000040.33
23/03/2020 027.43 000032.52 000006.26 000038.78
24/03/2020 026.66 000032.27 000005.19 000037.46
