Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 041.80 000019.66 000007.71 000027.36
24/02/2020 040.95 000019.18 000006.02 000025.19
25/02/2020 040.49 000018.66 000004.87 000023.54
26/02/2020 049.19 000018.15 000138.91 000157.06
27/02/2020 056.35 000018.29 000223.69 000241.97
28/02/2020 057.19 000019.09 000183.93 000203.02
29/02/2020 056.43 000019.95 000143.80 000163.74
01/03/2020 055.59 000020.68 000112.33 000133.01
02/03/2020 054.57 000021.30 000087.69 000109.00
03/03/2020 053.57 000021.79 000068.46 000090.26
04/03/2020 052.60 000022.16 000053.45 000075.61
05/03/2020 051.66 000022.42 000041.73 000064.15
06/03/2020 050.74 000022.59 000032.58 000055.16
07/03/2020 049.83 000022.66 000025.43 000048.09
08/03/2020 049.03 000022.65 000019.86 000042.51
09/03/2020 048.27 000022.57 000015.50 000038.07
10/03/2020 047.47 000022.43 000012.10 000034.54
11/03/2020 046.65 000022.24 000009.45 000031.69
12/03/2020 045.84 000021.99 000007.38 000029.36
13/03/2020 045.03 000021.69 000005.76 000027.45
14/03/2020 044.25 000021.34 000004.50 000025.83
15/03/2020 043.48 000020.95 000003.51 000024.46
16/03/2020 042.73 000020.52 000002.74 000023.26
17/03/2020 042.03 000020.07 000002.14 000022.21
18/03/2020 041.43 000019.58 000001.67 000021.25
19/03/2020 043.31 000019.08 000012.15 000031.23
20/03/2020 045.82 000018.73 000026.03 000044.76
21/03/2020 046.67 000018.57 000025.50 000044.07
22/03/2020 046.00 000018.49 000019.91 000038.40
23/03/2020 045.75 000018.36 000016.19 000034.54
24/03/2020 044.96 000018.21 000012.64 000030.85
