Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 049.64 000024.96 000000.00 000024.96
24/02/2020 048.78 000024.26 000000.00 000024.26
25/02/2020 049.47 000023.54 000006.18 000029.72
26/02/2020 053.48 000022.92 000050.27 000073.19
27/02/2020 061.16 000022.68 000190.40 000213.08
28/02/2020 065.45 000023.20 000184.34 000207.54
29/02/2020 065.56 000024.16 000113.81 000137.97
01/03/2020 065.34 000025.07 000070.19 000095.26
02/03/2020 064.25 000025.90 000041.18 000067.08
03/03/2020 063.22 000026.54 000024.16 000050.70
04/03/2020 062.21 000027.02 000014.18 000041.20
05/03/2020 062.17 000027.36 000010.93 000038.29
06/03/2020 061.68 000027.68 000006.94 000034.62
07/03/2020 060.68 000027.92 000004.07 000031.99
08/03/2020 059.70 000028.04 000002.39 000030.42
09/03/2020 058.78 000028.04 000001.40 000029.45
10/03/2020 057.90 000027.96 000000.82 000028.78
11/03/2020 056.98 000027.79 000000.48 000028.27
12/03/2020 056.07 000027.54 000000.28 000027.83
13/03/2020 055.18 000027.23 000000.17 000027.39
14/03/2020 054.30 000026.85 000000.10 000026.95
15/03/2020 053.45 000026.42 000000.06 000026.47
16/03/2020 052.62 000025.94 000000.03 000025.97
17/03/2020 051.83 000025.42 000000.02 000025.44
18/03/2020 051.27 000024.87 000000.03 000024.90
19/03/2020 050.79 000024.31 000000.12 000024.43
20/03/2020 052.44 000023.74 000012.01 000035.75
21/03/2020 054.28 000023.36 000021.32 000044.67
22/03/2020 053.47 000023.16 000012.51 000035.66
23/03/2020 052.66 000022.90 000007.34 000030.24
24/03/2020 051.84 000022.58 000004.31 000026.89
