Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 054.53 000013.57 000001.68 000015.24
24/02/2020 053.43 000013.26 000001.24 000014.50
25/02/2020 054.46 000012.95 000005.06 000018.01
26/02/2020 059.81 000012.66 000036.03 000048.69
27/02/2020 062.54 000012.37 000040.22 000052.59
28/02/2020 061.61 000012.09 000029.77 000041.86
29/02/2020 060.69 000011.81 000022.04 000033.85
01/03/2020 059.77 000011.54 000016.32 000027.86
02/03/2020 058.74 000011.28 000012.07 000023.35
03/03/2020 057.72 000011.02 000008.93 000019.95
04/03/2020 056.73 000010.77 000006.61 000017.38
05/03/2020 055.76 000010.52 000004.89 000015.41
06/03/2020 054.79 000010.28 000003.62 000013.90
07/03/2020 054.05 000010.05 000002.68 000012.72
08/03/2020 053.37 000009.82 000001.98 000011.80
09/03/2020 052.68 000009.59 000001.46 000011.06
10/03/2020 051.82 000009.37 000001.08 000010.46
11/03/2020 050.99 000009.16 000000.80 000009.96
12/03/2020 050.16 000008.95 000000.59 000009.54
13/03/2020 049.29 000008.75 000000.44 000009.19
14/03/2020 048.43 000008.55 000000.32 000008.87
15/03/2020 047.59 000008.35 000000.24 000008.59
16/03/2020 046.76 000008.16 000000.18 000008.34
17/03/2020 046.64 000007.97 000000.66 000008.63
18/03/2020 048.86 000007.79 000006.78 000014.57
19/03/2020 050.38 000007.61 000009.18 000016.79
20/03/2020 050.91 000007.44 000008.56 000016.00
21/03/2020 050.62 000007.27 000006.60 000013.87
22/03/2020 050.31 000007.10 000005.12 000012.23
23/03/2020 049.80 000006.94 000003.83 000010.78
24/03/2020 048.94 000006.78 000002.84 000009.62
