Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 061.32 000014.66 000005.02 000019.68
24/02/2020 060.21 000014.51 000004.27 000018.78
25/02/2020 059.51 000014.33 000003.66 000017.99
26/02/2020 065.98 000014.14 000026.42 000040.57
27/02/2020 072.60 000014.13 000053.68 000067.82
28/02/2020 071.21 000014.34 000045.69 000060.03
29/02/2020 069.83 000014.49 000038.89 000053.38
01/03/2020 068.50 000014.59 000033.10 000047.69
02/03/2020 067.34 000014.65 000028.17 000042.82
03/03/2020 066.63 000014.67 000024.02 000038.69
04/03/2020 066.24 000014.67 000020.67 000035.34
05/03/2020 065.21 000014.65 000017.59 000032.25
06/03/2020 064.18 000014.61 000014.97 000029.58
07/03/2020 063.23 000014.54 000012.74 000027.28
08/03/2020 062.46 000014.44 000010.85 000025.29
09/03/2020 061.73 000014.33 000009.24 000023.56
10/03/2020 060.75 000014.19 000007.86 000022.06
11/03/2020 059.78 000014.04 000006.69 000020.73
12/03/2020 058.85 000013.86 000005.70 000019.56
13/03/2020 057.92 000013.67 000004.85 000018.51
14/03/2020 057.02 000013.45 000004.13 000017.58
15/03/2020 056.14 000013.22 000003.51 000016.74
16/03/2020 055.29 000012.98 000002.99 000015.97
17/03/2020 054.45 000012.72 000002.54 000015.27
18/03/2020 054.05 000012.45 000002.20 000014.66
19/03/2020 056.29 000012.18 000005.11 000017.29
20/03/2020 058.24 000011.97 000007.24 000019.20
21/03/2020 057.54 000011.80 000006.16 000017.96
22/03/2020 056.79 000011.62 000005.24 000016.86
23/03/2020 056.07 000011.43 000004.46 000015.89
24/03/2020 055.21 000011.22 000003.80 000015.02
