Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 036.34 000046.71 000024.68 000071.38
24/02/2020 035.05 000046.31 000018.26 000064.57
25/02/2020 033.84 000045.81 000013.51 000059.32
26/02/2020 032.87 000045.22 000009.99 000055.21
27/02/2020 032.38 000044.56 000008.13 000052.69
28/02/2020 032.27 000043.88 000009.18 000053.06
29/02/2020 032.04 000043.20 000008.90 000052.09
01/03/2020 031.00 000042.51 000006.58 000049.10
02/03/2020 030.10 000041.77 000004.87 000046.64
03/03/2020 029.23 000040.98 000003.60 000044.58
04/03/2020 028.38 000040.20 000002.67 000042.86
05/03/2020 027.55 000039.43 000001.97 000041.40
06/03/2020 026.76 000038.68 000001.46 000040.14
07/03/2020 025.98 000037.94 000001.08 000039.02
08/03/2020 025.22 000037.22 000000.80 000038.02
09/03/2020 024.49 000036.51 000000.59 000037.10
10/03/2020 023.78 000035.81 000000.44 000036.25
11/03/2020 023.09 000035.13 000000.32 000035.45
12/03/2020 022.42 000034.46 000000.24 000034.70
13/03/2020 021.77 000033.80 000000.18 000033.98
14/03/2020 021.14 000033.16 000000.13 000033.29
15/03/2020 020.53 000032.53 000000.10 000032.62
16/03/2020 019.93 000031.91 000000.07 000031.98
17/03/2020 019.35 000031.30 000000.05 000031.35
18/03/2020 020.71 000030.70 000006.82 000037.52
19/03/2020 022.01 000030.12 000011.72 000041.83
20/03/2020 022.83 000029.54 000013.70 000043.24
21/03/2020 022.78 000028.98 000012.24 000041.22
22/03/2020 022.43 000028.42 000009.26 000037.69
23/03/2020 021.78 000027.88 000006.85 000034.73
24/03/2020 021.15 000027.35 000005.07 000032.42
