                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
24/03/2020                31.74                30.85                 5.64                37.46                31.22                 1.20                 8.13                 3.14                26.89                 3.98                15.02
25/03/2020                28.65                27.76                 5.12                36.48                29.40                 1.13                 7.77                 2.83                24.77                 3.61                14.22
26/03/2020                26.02                25.26                 4.71                35.62                27.93                 1.07                 7.44                 2.57                23.33                 3.33                13.49
27/03/2020                23.76                23.22                 4.38                34.86                26.72                 1.03                 7.13                 2.35                22.29                 3.10                12.83
28/03/2020                21.82                21.53                 4.13                34.20                25.72                 0.99                 6.85                 2.16                21.47                 2.91                12.23
29/03/2020                20.16                20.11                 3.91                33.60                24.86                 0.96                 6.59                 1.99                20.76                 2.77                11.69
30/03/2020                18.72                18.91                 3.79                33.13                24.11                 0.93                 6.35                 1.85                20.13                 2.68                11.25
31/03/2020                17.52                17.98                 3.70                32.71                23.51                 0.90                 6.36                 1.73                19.54                 2.61                10.87
01/04/2020                16.69                17.58                 3.78                32.42                23.25                 0.89                 6.36                 1.65                19.03                 2.67                10.57
02/04/2020                16.56                17.20                 3.62                32.10                22.83                 0.88                 7.96                 1.64                19.19                 2.55                10.25
03/04/2020                16.15                16.46                 3.45                31.70                22.29                 0.86                 7.82                 1.60                18.72                 2.43                 9.89
04/04/2020                15.37                15.74                 3.35                31.40                21.74                 0.84                 7.20                 1.52                17.93                 2.36                 9.65
