Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 042.31 000213.75 000195.50 000409.26
24/02/2020 044.59 000214.56 000204.92 000419.48
25/02/2020 046.28 000215.82 000211.27 000427.09
26/02/2020 047.41 000217.43 000214.04 000431.47
27/02/2020 048.13 000219.29 000214.50 000433.79
28/02/2020 052.30 000221.31 000269.82 000491.13
29/02/2020 053.76 000224.36 000287.26 000511.62
01/03/2020 053.38 000227.78 000281.29 000509.08
02/03/2020 052.23 000231.08 000263.36 000494.44
03/03/2020 048.70 000234.07 000229.85 000463.92
04/03/2020 045.25 000236.15 000200.10 000436.25
05/03/2020 042.31 000237.44 000174.19 000411.64
06/03/2020 039.79 000238.13 000151.64 000389.78
07/03/2020 037.58 000238.35 000132.01 000370.37
08/03/2020 035.68 000238.21 000114.93 000353.13
09/03/2020 034.02 000237.77 000100.05 000337.82
10/03/2020 032.56 000237.10 000087.10 000324.20
11/03/2020 031.28 000236.25 000075.82 000312.07
12/03/2020 030.41 000235.25 000066.03 000301.28
13/03/2020 029.70 000234.16 000057.59 000291.75
14/03/2020 028.91 000233.02 000050.14 000283.16
15/03/2020 028.15 000231.90 000043.65 000275.54
16/03/2020 027.42 000230.78 000038.00 000268.77
17/03/2020 026.71 000229.66 000033.08 000262.74
18/03/2020 026.01 000228.55 000028.80 000257.35
19/03/2020 025.33 000227.44 000025.08 000252.52
20/03/2020 025.15 000226.34 000024.10 000250.45
21/03/2020 028.02 000225.25 000039.97 000265.22
22/03/2020 035.84 000224.16 000111.68 000335.84
23/03/2020 040.56 000223.81 000144.15 000367.97
24/03/2020 039.36 000224.24 000128.59 000352.84
