Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 054.68 000104.65 000110.70 000215.34
24/02/2020 050.16 000110.46 000097.63 000208.09
25/02/2020 047.74 000112.46 000085.23 000197.69
26/02/2020 048.30 000112.67 000077.51 000190.18
27/02/2020 050.33 000113.27 000076.73 000190.00
28/02/2020 053.30 000115.38 000087.84 000203.23
29/02/2020 055.19 000119.90 000104.11 000224.00
01/03/2020 056.33 000126.04 000123.63 000249.67
02/03/2020 055.16 000133.19 000127.03 000260.23
03/03/2020 049.89 000139.19 000110.93 000250.12
04/03/2020 047.62 000140.74 000096.71 000237.44
05/03/2020 046.00 000140.61 000084.19 000224.80
06/03/2020 045.13 000139.40 000073.29 000212.69
07/03/2020 044.19 000138.20 000063.80 000202.00
08/03/2020 043.28 000137.01 000055.54 000192.55
09/03/2020 042.46 000135.82 000048.35 000184.18
10/03/2020 041.64 000134.65 000042.09 000176.75
11/03/2020 040.81 000133.49 000036.65 000170.14
12/03/2020 040.53 000132.34 000032.01 000164.35
13/03/2020 039.93 000131.20 000027.87 000159.06
14/03/2020 039.25 000130.07 000024.26 000154.32
15/03/2020 038.76 000128.94 000021.12 000150.06
16/03/2020 039.92 000127.83 000020.47 000148.30
17/03/2020 040.04 000126.73 000018.48 000145.21
18/03/2020 039.64 000125.63 000016.11 000141.74
19/03/2020 039.58 000124.55 000014.43 000138.98
20/03/2020 039.93 000123.48 000013.47 000136.94
21/03/2020 048.10 000122.41 000048.81 000171.22
22/03/2020 051.59 000122.78 000057.63 000180.41
23/03/2020 052.03 000125.81 000060.23 000186.04
24/03/2020 048.29 000129.17 000052.43 000181.60
