Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 043.24 000085.36 000146.38 000231.74
24/02/2020 040.41 000085.15 000129.05 000214.20
25/02/2020 039.60 000084.76 000114.07 000198.83
26/02/2020 040.39 000084.36 000103.31 000187.67
27/02/2020 048.96 000083.98 000117.16 000201.14
28/02/2020 058.34 000084.73 000168.32 000253.05
29/02/2020 059.33 000087.53 000209.01 000296.54
01/03/2020 056.44 000090.58 000218.05 000308.63
02/03/2020 057.78 000092.89 000234.13 000327.01
03/03/2020 050.80 000095.51 000212.12 000307.64
04/03/2020 052.72 000096.57 000205.36 000301.94
05/03/2020 046.74 000098.02 000181.98 000280.00
06/03/2020 042.63 000098.31 000160.43 000258.74
07/03/2020 040.41 000097.95 000141.43 000239.38
08/03/2020 038.50 000097.49 000124.69 000222.18
09/03/2020 043.04 000097.04 000118.58 000215.62
10/03/2020 042.70 000096.75 000105.93 000202.68
11/03/2020 040.34 000096.40 000093.39 000189.79
12/03/2020 038.38 000095.96 000082.33 000178.29
13/03/2020 036.53 000095.51 000072.58 000168.09
14/03/2020 034.76 000095.07 000063.99 000159.06
15/03/2020 036.53 000094.64 000059.43 000154.07
16/03/2020 036.68 000094.20 000053.67 000147.87
17/03/2020 035.08 000093.77 000047.31 000141.08
18/03/2020 037.77 000093.33 000046.13 000139.47
19/03/2020 037.41 000092.90 000041.19 000134.09
20/03/2020 035.63 000092.47 000036.31 000128.78
21/03/2020 042.20 000092.05 000045.87 000137.92
22/03/2020 049.31 000091.65 000058.57 000150.22
23/03/2020 044.09 000092.44 000051.63 000144.07
24/03/2020 041.03 000092.32 000045.52 000137.84
