Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 044.02 000084.10 000085.15 000169.25
24/02/2020 038.10 000086.23 000063.64 000149.87
25/02/2020 035.31 000086.95 000048.17 000135.12
26/02/2020 042.02 000087.12 000077.31 000164.43
27/02/2020 050.36 000088.72 000165.26 000253.98
28/02/2020 045.90 000092.64 000149.26 000241.90
29/02/2020 041.70 000095.20 000118.81 000214.01
01/03/2020 036.56 000096.66 000085.70 000182.37
02/03/2020 033.86 000096.99 000061.73 000158.72
03/03/2020 035.32 000096.84 000052.54 000149.37
04/03/2020 033.22 000096.94 000038.48 000135.42
05/03/2020 030.92 000096.67 000027.21 000123.88
06/03/2020 029.49 000096.06 000019.24 000115.30
07/03/2020 028.40 000095.32 000013.61 000108.93
08/03/2020 027.35 000094.59 000009.62 000104.21
09/03/2020 026.68 000093.86 000006.84 000100.70
10/03/2020 025.84 000093.14 000004.84 000097.98
11/03/2020 025.09 000092.43 000003.42 000095.85
12/03/2020 024.30 000091.72 000002.42 000094.14
13/03/2020 023.40 000091.02 000001.71 000092.72
14/03/2020 022.53 000090.32 000001.21 000091.53
15/03/2020 021.76 000089.62 000000.85 000090.48
16/03/2020 021.73 000088.94 000002.24 000091.17
17/03/2020 027.59 000088.25 000020.21 000108.46
18/03/2020 032.76 000087.58 000031.34 000118.92
19/03/2020 031.12 000087.31 000022.25 000109.56
20/03/2020 030.09 000086.80 000015.84 000102.63
21/03/2020 029.64 000086.14 000011.71 000097.86
22/03/2020 029.22 000085.48 000008.79 000094.27
23/03/2020 029.00 000084.83 000007.29 000092.12
24/03/2020 027.95 000084.18 000005.16 000089.33
