Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 046.49 000173.83 000316.53 000490.35
24/02/2020 044.37 000173.10 000264.99 000438.08
25/02/2020 043.37 000172.21 000222.14 000394.35
26/02/2020 043.11 000171.33 000188.57 000359.90
27/02/2020 046.45 000170.45 000176.29 000346.74
28/02/2020 056.16 000169.73 000241.26 000410.99
29/02/2020 059.45 000172.87 000305.21 000478.08
01/03/2020 058.06 000177.61 000323.94 000501.55
02/03/2020 057.55 000181.62 000327.92 000509.55
03/03/2020 057.60 000185.37 000333.27 000518.63
04/03/2020 059.75 000189.12 000373.92 000563.04
05/03/2020 059.08 000193.92 000390.07 000583.99
06/03/2020 051.05 000198.37 000329.14 000527.51
07/03/2020 046.44 000199.16 000275.55 000474.71
08/03/2020 044.30 000198.29 000230.68 000428.97
09/03/2020 042.74 000197.27 000193.12 000390.39
10/03/2020 041.32 000196.26 000161.67 000357.93
11/03/2020 039.67 000195.26 000135.35 000330.60
12/03/2020 038.00 000194.26 000113.31 000307.56
13/03/2020 036.39 000193.26 000094.86 000288.12
14/03/2020 034.85 000192.27 000079.41 000271.68
15/03/2020 033.54 000191.29 000066.48 000257.77
16/03/2020 032.64 000190.31 000055.66 000245.96
17/03/2020 032.08 000189.33 000046.88 000236.21
18/03/2020 033.28 000188.36 000044.37 000232.73
19/03/2020 035.41 000187.40 000045.30 000232.70
20/03/2020 036.23 000186.44 000042.30 000228.73
21/03/2020 043.85 000185.48 000079.32 000264.81
22/03/2020 054.59 000184.53 000159.84 000344.37
23/03/2020 053.46 000186.89 000155.67 000342.56
24/03/2020 047.79 000188.74 000130.32 000319.06
