Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 043.69 000194.55 000856.96 001051.51
24/02/2020 043.69 000193.59 000777.46 000971.05
25/02/2020 044.27 000192.63 000708.25 000900.89
26/02/2020 049.35 000191.80 000676.35 000868.16
27/02/2020 049.31 000193.49 000630.06 000823.54
28/02/2020 057.01 000195.14 000686.89 000882.03
29/02/2020 059.17 000201.56 000752.05 000953.61
01/03/2020 053.44 000209.50 000710.80 000920.30
02/03/2020 055.58 000213.49 000707.58 000921.08
03/03/2020 048.98 000218.85 000642.00 000860.85
04/03/2020 045.46 000220.20 000578.05 000798.25
05/03/2020 042.53 000219.77 000519.58 000739.36
06/03/2020 040.31 000218.69 000467.03 000685.71
07/03/2020 037.99 000217.61 000419.79 000637.40
08/03/2020 037.12 000216.53 000378.06 000594.59
09/03/2020 036.31 000215.46 000340.65 000556.11
10/03/2020 035.59 000214.40 000307.24 000521.64
11/03/2020 034.18 000213.34 000276.17 000489.50
12/03/2020 032.16 000212.29 000248.23 000460.52
13/03/2020 030.25 000211.24 000223.12 000434.36
14/03/2020 028.43 000210.19 000200.55 000410.75
15/03/2020 027.09 000209.16 000180.27 000389.42
16/03/2020 030.23 000208.12 000176.76 000384.88
17/03/2020 033.53 000207.10 000175.11 000382.20
18/03/2020 040.65 000206.07 000200.92 000406.99
19/03/2020 040.86 000205.05 000186.42 000391.47
20/03/2020 044.84 000204.04 000191.34 000395.38
21/03/2020 052.01 000203.41 000231.56 000434.97
22/03/2020 055.08 000206.56 000274.92 000481.48
23/03/2020 046.98 000211.62 000247.12 000458.74
24/03/2020 043.13 000211.97 000222.12 000434.09
