Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 030.01 000165.90 000228.67 000394.57
24/02/2020 033.31 000165.27 000225.29 000390.56
25/02/2020 035.36 000167.11 000222.04 000389.15
26/02/2020 035.97 000170.73 000210.37 000381.10
27/02/2020 036.14 000174.90 000198.46 000373.36
28/02/2020 036.47 000179.21 000192.08 000371.29
29/02/2020 036.75 000183.83 000188.29 000372.12
01/03/2020 037.40 000188.69 000193.42 000382.11
02/03/2020 040.59 000194.18 000261.23 000455.41
03/03/2020 040.73 000203.10 000280.88 000483.98
04/03/2020 039.10 000212.14 000262.82 000474.96
05/03/2020 034.84 000219.32 000215.60 000434.92
06/03/2020 032.53 000222.27 000176.87 000399.13
07/03/2020 031.13 000223.27 000145.09 000368.35
08/03/2020 030.22 000223.20 000119.02 000342.22
09/03/2020 029.64 000222.49 000097.64 000320.13
10/03/2020 029.13 000221.64 000080.10 000301.73
11/03/2020 028.63 000220.78 000065.71 000286.49
12/03/2020 028.12 000219.93 000053.90 000273.84
13/03/2020 027.62 000219.09 000044.22 000263.31
14/03/2020 027.13 000218.25 000036.27 000254.52
15/03/2020 026.67 000217.41 000029.76 000247.16
16/03/2020 026.36 000216.57 000024.49 000241.06
17/03/2020 026.08 000215.74 000020.24 000235.98
18/03/2020 025.78 000214.91 000016.68 000231.59
19/03/2020 025.44 000214.09 000013.69 000227.78
20/03/2020 025.48 000213.26 000014.14 000227.40
21/03/2020 028.64 000212.44 000042.69 000255.13
22/03/2020 031.09 000211.63 000057.90 000269.52
23/03/2020 033.55 000211.57 000075.98 000287.55
24/03/2020 032.01 000213.44 000062.50 000275.94
