Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 058.71 000068.03 000330.15 000398.18
24/02/2020 060.37 000070.89 000331.26 000402.15
25/02/2020 052.20 000074.45 000292.04 000366.49
26/02/2020 049.95 000074.80 000257.51 000332.31
27/02/2020 056.19 000074.43 000254.66 000329.09
28/02/2020 058.54 000076.24 000253.72 000329.96
29/02/2020 060.14 000078.98 000261.93 000340.91
01/03/2020 058.12 000082.40 000250.36 000332.76
02/03/2020 058.63 000084.94 000244.41 000329.35
03/03/2020 060.07 000087.68 000249.80 000337.49
04/03/2020 060.38 000091.03 000254.86 000345.88
05/03/2020 051.98 000094.49 000224.68 000319.17
06/03/2020 050.55 000094.67 000198.69 000293.36
07/03/2020 049.60 000094.38 000175.38 000269.75
08/03/2020 047.67 000093.91 000154.61 000248.52
09/03/2020 046.37 000093.45 000136.30 000229.75
10/03/2020 044.88 000092.99 000120.16 000213.15
11/03/2020 043.40 000092.53 000105.94 000198.46
12/03/2020 041.72 000092.07 000093.39 000185.46
13/03/2020 040.11 000091.61 000082.33 000173.95
14/03/2020 038.55 000091.16 000072.58 000163.75
15/03/2020 037.08 000090.71 000063.99 000154.70
16/03/2020 041.06 000090.26 000066.37 000156.63
17/03/2020 051.09 000089.82 000106.14 000195.96
18/03/2020 056.87 000089.72 000120.29 000210.02
19/03/2020 052.17 000091.72 000106.26 000197.97
20/03/2020 050.84 000091.97 000094.70 000186.67
21/03/2020 054.24 000091.78 000095.92 000187.70
22/03/2020 059.55 000092.77 000124.23 000217.00
23/03/2020 056.19 000095.86 000117.91 000213.77
24/03/2020 051.58 000097.56 000103.96 000201.52
