Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 064.71 000057.19 000228.86 000286.05
24/02/2020 067.12 000058.27 000237.67 000295.94
25/02/2020 068.60 000059.62 000235.64 000295.26
26/02/2020 069.32 000061.15 000225.85 000287.00
27/02/2020 070.15 000062.76 000220.96 000283.72
28/02/2020 071.90 000064.47 000236.82 000301.28
29/02/2020 075.64 000066.40 000274.78 000341.18
01/03/2020 083.10 000068.84 000323.03 000391.87
02/03/2020 081.42 000072.42 000374.04 000446.46
03/03/2020 080.65 000075.72 000373.04 000448.76
04/03/2020 080.03 000078.87 000369.40 000448.27
05/03/2020 079.56 000081.91 000365.64 000447.56
06/03/2020 075.15 000084.87 000319.10 000403.97
07/03/2020 071.30 000087.15 000279.52 000366.67
08/03/2020 067.92 000088.88 000245.81 000334.70
09/03/2020 064.98 000090.18 000217.06 000307.25
10/03/2020 062.51 000091.13 000192.50 000283.62
11/03/2020 060.30 000091.79 000171.46 000263.25
12/03/2020 058.34 000092.23 000153.41 000245.63
13/03/2020 056.33 000092.46 000137.88 000230.35
14/03/2020 054.50 000092.52 000124.49 000217.01
15/03/2020 052.83 000092.41 000112.90 000205.31
16/03/2020 051.82 000092.17 000102.95 000195.12
17/03/2020 051.45 000091.85 000096.15 000188.00
18/03/2020 051.27 000091.50 000091.15 000182.65
19/03/2020 053.83 000091.14 000105.40 000196.54
20/03/2020 055.19 000090.99 000108.75 000199.74
21/03/2020 059.76 000090.95 000153.95 000244.90
22/03/2020 060.07 000091.33 000145.67 000237.00
23/03/2020 063.05 000091.74 000169.38 000261.12
24/03/2020 063.89 000092.46 000166.24 000258.70
